"ID","reference_area","date","HPIndex"
"1","XM","Euro area",1975-01-01,60.4506
"2","XM","Euro area",1975-04-01,60.2253
"3","XM","Euro area",1975-07-01,60.0933
"4","XM","Euro area",1975-10-01,59.6184
"5","XM","Euro area",1976-01-01,59.3557
"6","XM","Euro area",1976-04-01,60.6974
"7","XM","Euro area",1976-07-01,61.812
"8","XM","Euro area",1976-10-01,61.4382
"9","XM","Euro area",1977-01-01,61.1335
"10","XM","Euro area",1977-04-01,61.9034
"11","XM","Euro area",1977-07-01,62.7427
"12","XM","Euro area",1977-10-01,63.1641
"13","XM","Euro area",1978-01-01,63.681
"14","XM","Euro area",1978-04-01,64.2287
"15","XM","Euro area",1978-07-01,64.963
"16","XM","Euro area",1978-10-01,65.7137
"17","XM","Euro area",1979-01-01,66.9834
"18","XM","Euro area",1979-04-01,67.8008
"19","XM","Euro area",1979-07-01,67.6331
"20","XM","Euro area",1979-10-01,66.2156
"21","XM","Euro area",1980-01-01,65.2338
"22","XM","Euro area",1980-04-01,66.2773
"23","XM","Euro area",1980-07-01,68.3556
"24","XM","Euro area",1980-10-01,69.3467
"25","XM","Euro area",1981-01-01,69.9865
"26","XM","Euro area",1981-04-01,70.1898
"27","XM","Euro area",1981-07-01,68.7487
"28","XM","Euro area",1981-10-01,66.8509
"29","XM","Euro area",1982-01-01,65.767
"30","XM","Euro area",1982-04-01,64.9989
"31","XM","Euro area",1982-07-01,64.7701
"32","XM","Euro area",1982-10-01,63.8455
"33","XM","Euro area",1983-01-01,63.4002
"34","XM","Euro area",1983-04-01,63.1264
"35","XM","Euro area",1983-07-01,63.0988
"36","XM","Euro area",1983-10-01,61.5823
"37","XM","Euro area",1984-01-01,60.3956
"38","XM","Euro area",1984-04-01,59.8173
"39","XM","Euro area",1984-07-01,59.65
"40","XM","Euro area",1984-10-01,58.6614
"41","XM","Euro area",1985-01-01,57.7757
"42","XM","Euro area",1985-04-01,57.2783
"43","XM","Euro area",1985-07-01,57.8218
"44","XM","Euro area",1985-10-01,57.4818
"45","XM","Euro area",1986-01-01,57.098
"46","XM","Euro area",1986-04-01,57.6706
"47","XM","Euro area",1986-07-01,58.5493
"48","XM","Euro area",1986-10-01,58.7729
"49","XM","Euro area",1987-01-01,59.4312
"50","XM","Euro area",1987-04-01,60.0544
"51","XM","Euro area",1987-07-01,60.5825
"52","XM","Euro area",1987-10-01,61.75
"53","XM","Euro area",1988-01-01,62.2223
"54","XM","Euro area",1988-04-01,63.4622
"55","XM","Euro area",1988-07-01,65.0522
"56","XM","Euro area",1988-10-01,65.7126
"57","XM","Euro area",1989-01-01,66.9431
"58","XM","Euro area",1989-04-01,67.8793
"59","XM","Euro area",1989-07-01,69.5459
"60","XM","Euro area",1989-10-01,70.3988
"61","XM","Euro area",1990-01-01,71.9663
"62","XM","Euro area",1990-04-01,73.4596
"63","XM","Euro area",1990-07-01,75.0203
"64","XM","Euro area",1990-10-01,74.9411
"65","XM","Euro area",1991-01-01,75.719
"66","XM","Euro area",1991-04-01,76.6902
"67","XM","Euro area",1991-07-01,77.3192
"68","XM","Euro area",1991-10-01,77.6524
