"ID","date","cg_dtype","credit_gap_data_type","credit","reference_area","HPIndex"
"63","FR","1985-07-01","A","Credit-to-GDP ratios (actual data)",110.3,"France",45.4199
"64","FR","1985-10-01","A","Credit-to-GDP ratios (actual data)",111.4,"France",45.112
"65","FR","1986-01-01","A","Credit-to-GDP ratios (actual data)",111,"France",44.9415
"66","FR","1986-04-01","A","Credit-to-GDP ratios (actual data)",111,"France",45.5235
"67","FR","1986-07-01","A","Credit-to-GDP ratios (actual data)",109.9,"France",46.5751
"68","FR","1986-10-01","A","Credit-to-GDP ratios (actual data)",108.8,"France",46.5016
"69","FR","1987-01-01","A","Credit-to-GDP ratios (actual data)",111.1,"France",46.014
"70","FR","1987-04-01","A","Credit-to-GDP ratios (actual data)",112,"France",46.9214
"71","FR","1987-07-01","A","Credit-to-GDP ratios (actual data)",112,"France",48.5587
"72","FR","1987-10-01","A","Credit-to-GDP ratios (actual data)",113.4,"France",48.8293
"73","FR","1988-01-01","A","Credit-to-GDP ratios (actual data)",114.6,"France",49.1133
"74","FR","1988-04-01","A","Credit-to-GDP ratios (actual data)",116,"France",50.484
"75","FR","1988-07-01","A","Credit-to-GDP ratios (actual data)",117.5,"France",52.5789
"76","FR","1988-10-01","A","Credit-to-GDP ratios (actual data)",119.6,"France",53.142
"77","FR","1989-01-01","A","Credit-to-GDP ratios (actual data)",119.2,"France",53.5326
"78","FR","1989-04-01","A","Credit-to-GDP ratios (actual data)",121.2,"France",54.8308
"79","FR","1989-07-01","A","Credit-to-GDP ratios (actual data)",121.4,"France",56.8677
"80","FR","1989-10-01","A","Credit-to-GDP ratios (actual data)",123.3,"France",57.0726
"81","FR","1990-01-01","A","Credit-to-GDP ratios (actual data)",124.4,"France",56.8682
"82","FR","1990-04-01","A","Credit-to-GDP ratios (actual data)",125.3,"France",58.0297
"83","FR","1990-07-01","A","Credit-to-GDP ratios (actual data)",125.9,"France",59.7255
"84","FR","1990-10-01","A","Credit-to-GDP ratios (actual data)",128.8,"France",59.3537
"85","FR","1991-01-01","A","Credit-to-GDP ratios (actual data)",129.4,"France",58.9511
"86","FR","1991-04-01","A","Credit-to-GDP ratios (actual data)",129.9,"France",59.6935
"87","FR","1991-07-01","A","Credit-to-GDP ratios (actual data)",130.6,"France",60.6153
"88","FR","1991-10-01","A","Credit-to-GDP ratios (actual data)",131.9,"France",59.2436
"89","FR","1992-01-01","A","Credit-to-GDP ratios (actual data)",132.1,"France",57.3226
"90","FR","1992-04-01","A","Credit-to-GDP ratios (actual data)",132.9,"France",56.7304
"91","FR","1992-07-01","A","Credit-to-GDP ratios (actual data)",132.2,"France",57.2942
"92","FR","1992-10-01","A","Credit-to-GDP ratios (actual data)",134.2,"France",56.1135
"93","FR","1993-01-01","A","Credit-to-GDP ratios (actual data)",136.4,"France",54.7767
"94","FR","1993-04-01","A","Credit-to-GDP ratios (actual data)",136.4,"France",54.6916
"95","FR","1993-07-01","A","Credit-to-GDP ratios (actual data)",136,"France",55.511
"96","FR","1993-10-01","A","Credit-to-GDP ratios (actual data)",134.5,"France",54.5882
"97","FR","1994-01-01","A","Credit-to-GDP ratios (actual data)",134.5,"France",53.5555
"98","FR","1994-04-01","A","Credit-to-GDP ratios (actual data)",133.4,"France",53.7312
"99","FR","1994-07-01","A","Credit-to-GDP ratios (actual data)",132.3,"France",54.6184
"100","FR","1994-10-01","A","Credit-to-GDP ratios (actual data)",133.4,"France",53.6947
"101","FR","1995-01-01","A","Credit-to-GDP ratios (actual data)",132.6,"France",52.2115
"102","FR","1995-04-01","A","Credit-to-GDP ratios (actual data)",133,"France",52.3376
"103","FR","1995-07-01","A","Credit-to-GDP ratios (actual data)",132.4,"France",53.1391
"104","FR","1995-10-01","A","Credit-to-GDP ratios (actual data)",130.8,"France",52.172
"105","FR","1996-01-01","A","Credit-to-GDP ratios (actual data)",130,"France",51.5647
"106","FR","1996-04-01","A","Credit-to-GDP ratios (actual data)",129.8,"France",51.1691
"107","FR","1996-07-01","A","Credit-to-GDP ratios (actual data)",128.8,"France",52.5333
"108","FR","1996-10-01","A","Credit-to-GDP ratios (actual data)",129.7,"France",52.3219
"109","FR","1997-01-01","A","Credit-to-GDP ratios (actual data)",130.4,"France",49.5859
"110","FR","1997-04-01","A","Credit-to-GDP ratios (actual data)",130.6,"France",51.9377
"111","FR","1997-07-01","A","Credit-to-GDP ratios (actual data)",130,"France",51.8687
"112","FR","1997-10-01","A","Credit-to-GDP ratios (actual data)",129.8,"France",51.7223
"113","FR","1998-01-01","A","Credit-to-GDP ratios (actual data)",129.6,"France",50.4477
"114","FR","1998-04-01","A","Credit-to-GDP ratios (actual data)",129.2,"France",51.4298
"115","FR","1998-07-01","A","Credit-to-GDP ratios (actual data)",128.6,"France",52.7822
"116","FR","1998-10-01","A","Credit-to-GDP ratios (actual data)",127.9,"France",52.816
"117","FR","1999-01-01","A","Credit-to-GDP ratios (actual data)",128.1,"France",52.7732
"118","FR","1999-04-01","A","Credit-to-GDP ratios (actual data)",130.6,"France",53.6734
"119","FR","1999-07-01","A","Credit-to-GDP ratios (actual data)",131.7,"France",56.1726
"120","FR","1999-10-01","A","Credit-to-GDP ratios (actual data)",133.4,"France",55.9472
"121","FR","2000-01-01","A","Credit-to-GDP ratios (actual data)",133.3,"France",57.0576
"122","FR","2000-04-01","A","Credit-to-GDP ratios (actual data)",134.9,"France",58.3987
"123","FR","2000-07-01","A","Credit-to-GDP ratios (actual data)",137,"France",60.1994
"124","FR","2000-10-01","A","Credit-to-GDP ratios (actual data)",137.8,"France",59.7164
"125","FR","2001-01-01","A","Credit-to-GDP ratios (actual data)",139.3,"France",60.4545
"126","FR","2001-04-01","A","Credit-to-GDP ratios (actual data)",141.2,"France",61.5375
"127","FR","2001-07-01","A","Credit-to-GDP ratios (actual data)",141.9,"France",63.2236
"128","FR","2001-10-01","A","Credit-to-GDP ratios (actual data)",142.8,"France",63.428
"129","FR","2002-01-01","A","Credit-to-GDP ratios (actual data)",143.2,"France",63.5734
"130","FR","2002-04-01","A","Credit-to-GDP ratios (actual data)",143.1,"France",65.2558
"131","FR","2002-07-01","A","Credit-to-GDP ratios (actual data)",142.6,"France",67.7271
