"ID","date","cg_dtype","credit_gap_data_type","credit","reference_area","HPIndex"
"70","GB","1985-07-01","A","Credit-to-GDP ratios (actual data)",78.2,"United Kingdom",34.8716
"71","GB","1985-10-01","A","Credit-to-GDP ratios (actual data)",77.4,"United Kingdom",35.7806
"72","GB","1986-01-01","A","Credit-to-GDP ratios (actual data)",79.9,"United Kingdom",36.3688
"73","GB","1986-04-01","A","Credit-to-GDP ratios (actual data)",81.2,"United Kingdom",37.4498
"74","GB","1986-07-01","A","Credit-to-GDP ratios (actual data)",81.8,"United Kingdom",38.9299
"75","GB","1986-10-01","A","Credit-to-GDP ratios (actual data)",84.7,"United Kingdom",39.7579
"76","GB","1987-01-01","A","Credit-to-GDP ratios (actual data)",86.5,"United Kingdom",40.6393
"77","GB","1987-04-01","A","Credit-to-GDP ratios (actual data)",87.3,"United Kingdom",41.9386
"78","GB","1987-07-01","A","Credit-to-GDP ratios (actual data)",88.7,"United Kingdom",43.9255
"79","GB","1987-10-01","A","Credit-to-GDP ratios (actual data)",88.6,"United Kingdom",46.1085
"80","GB","1988-01-01","A","Credit-to-GDP ratios (actual data)",90.9,"United Kingdom",47.8388
"81","GB","1988-04-01","A","Credit-to-GDP ratios (actual data)",94.6,"United Kingdom",49.7748
"82","GB","1988-07-01","A","Credit-to-GDP ratios (actual data)",97.3,"United Kingdom",55.8726
"83","GB","1988-10-01","A","Credit-to-GDP ratios (actual data)",98.3,"United Kingdom",58.6713
"84","GB","1989-01-01","A","Credit-to-GDP ratios (actual data)",101.6,"United Kingdom",59.3291
"85","GB","1989-04-01","A","Credit-to-GDP ratios (actual data)",104.1,"United Kingdom",60.1121
"86","GB","1989-07-01","A","Credit-to-GDP ratios (actual data)",106.4,"United Kingdom",61.7899
"87","GB","1989-10-01","A","Credit-to-GDP ratios (actual data)",107.3,"United Kingdom",59.6447
"88","GB","1990-01-01","A","Credit-to-GDP ratios (actual data)",113,"United Kingdom",57.7052
"89","GB","1990-04-01","A","Credit-to-GDP ratios (actual data)",114.5,"United Kingdom",55.4895
"90","GB","1990-07-01","A","Credit-to-GDP ratios (actual data)",114.3,"United Kingdom",55.6605
"91","GB","1990-10-01","A","Credit-to-GDP ratios (actual data)",115.3,"United Kingdom",53.7811
"92","GB","1991-01-01","A","Credit-to-GDP ratios (actual data)",116.5,"United Kingdom",52.845
"93","GB","1991-04-01","A","Credit-to-GDP ratios (actual data)",118.8,"United Kingdom",50.3859
"94","GB","1991-07-01","A","Credit-to-GDP ratios (actual data)",118.6,"United Kingdom",50.8936
"95","GB","1991-10-01","A","Credit-to-GDP ratios (actual data)",115.8,"United Kingdom",49.9296
"96","GB","1992-01-01","A","Credit-to-GDP ratios (actual data)",116.4,"United Kingdom",48.9527
"97","GB","1992-04-01","A","Credit-to-GDP ratios (actual data)",115.4,"United Kingdom",46.8658
"98","GB","1992-07-01","A","Credit-to-GDP ratios (actual data)",115.4,"United Kingdom",47.1128
"99","GB","1992-10-01","A","Credit-to-GDP ratios (actual data)",117.8,"United Kingdom",45.017
"100","GB","1993-01-01","A","Credit-to-GDP ratios (actual data)",116.8,"United Kingdom",45.226
"101","GB","1993-04-01","A","Credit-to-GDP ratios (actual data)",117,"United Kingdom",44.6958
"102","GB","1993-07-01","A","Credit-to-GDP ratios (actual data)",117.4,"United Kingdom",45.571
"103","GB","1993-10-01","A","Credit-to-GDP ratios (actual data)",118.9,"United Kingdom",44.618
"104","GB","1994-01-01","A","Credit-to-GDP ratios (actual data)",117.4,"United Kingdom",45.0497
"105","GB","1994-04-01","A","Credit-to-GDP ratios (actual data)",114.2,"United Kingdom",44.9854
"106","GB","1994-07-01","A","Credit-to-GDP ratios (actual data)",113.7,"United Kingdom",45.8543
"107","GB","1994-10-01","A","Credit-to-GDP ratios (actual data)",113.6,"United Kingdom",45.4097
"108","GB","1995-01-01","A","Credit-to-GDP ratios (actual data)",113.3,"United Kingdom",44.6374
"109","GB","1995-04-01","A","Credit-to-GDP ratios (actual data)",113.3,"United Kingdom",44.5
"110","GB","1995-07-01","A","Credit-to-GDP ratios (actual data)",113.3,"United Kingdom",44.8128
"111","GB","1995-10-01","A","Credit-to-GDP ratios (actual data)",115.9,"United Kingdom",43.9541
"112","GB","1996-01-01","A","Credit-to-GDP ratios (actual data)",114.6,"United Kingdom",44.3521
"113","GB","1996-04-01","A","Credit-to-GDP ratios (actual data)",116,"United Kingdom",43.9368
"114","GB","1996-07-01","A","Credit-to-GDP ratios (actual data)",115.2,"United Kingdom",45.6188
"115","GB","1996-10-01","A","Credit-to-GDP ratios (actual data)",114.8,"United Kingdom",46.1127
"116","GB","1997-01-01","A","Credit-to-GDP ratios (actual data)",107.9,"United Kingdom",46.7359
