"ID","borrowers_country","cg_dtype","credit_gap_data_type","date","obs_value"
"1","AU","Australia","A","Credit-to-GDP ratios (actual data)",1960-04-01,53
"2","AU","Australia","A","Credit-to-GDP ratios (actual data)",1960-07-01,53
"3","AU","Australia","A","Credit-to-GDP ratios (actual data)",1960-10-01,53.3
"4","AU","Australia","A","Credit-to-GDP ratios (actual data)",1961-01-01,53
"5","AU","Australia","A","Credit-to-GDP ratios (actual data)",1961-04-01,53.7
"6","AU","Australia","A","Credit-to-GDP ratios (actual data)",1961-07-01,54.4
"7","AU","Australia","A","Credit-to-GDP ratios (actual data)",1961-10-01,55
"8","AU","Australia","A","Credit-to-GDP ratios (actual data)",1962-01-01,55.3
"9","AU","Australia","A","Credit-to-GDP ratios (actual data)",1962-04-01,55
"10","AU","Australia","A","Credit-to-GDP ratios (actual data)",1962-07-01,54.6
"11","AU","Australia","A","Credit-to-GDP ratios (actual data)",1962-10-01,53.9
"12","AU","Australia","A","Credit-to-GDP ratios (actual data)",1963-01-01,54
"13","AU","Australia","A","Credit-to-GDP ratios (actual data)",1963-04-01,54.4
"14","AU","Australia","A","Credit-to-GDP ratios (actual data)",1963-07-01,54.3
"15","AU","Australia","A","Credit-to-GDP ratios (actual data)",1963-10-01,54.3
"16","AU","Australia","A","Credit-to-GDP ratios (actual data)",1964-01-01,54.7
"17","AU","Australia","A","Credit-to-GDP ratios (actual data)",1964-04-01,54.5
"18","AU","Australia","A","Credit-to-GDP ratios (actual data)",1964-07-01,54.8
"19","AU","Australia","A","Credit-to-GDP ratios (actual data)",1964-10-01,54.9
"20","AU","Australia","A","Credit-to-GDP ratios (actual data)",1965-01-01,55.6
"21","AU","Australia","A","Credit-to-GDP ratios (actual data)",1965-04-01,56.5
"22","AU","Australia","A","Credit-to-GDP ratios (actual data)",1965-07-01,57.6
"23","AU","Australia","A","Credit-to-GDP ratios (actual data)",1965-10-01,58.8
"24","AU","Australia","A","Credit-to-GDP ratios (actual data)",1966-01-01,59.7
"25","AU","Australia","A","Credit-to-GDP ratios (actual data)",1966-04-01,60.5
"26","AU","Australia","A","Credit-to-GDP ratios (actual data)",1966-07-01,60.7
"27","AU","Australia","A","Credit-to-GDP ratios (actual data)",1966-10-01,60.6
"28","AU","Australia","A","Credit-to-GDP ratios (actual data)",1967-01-01,60.5
"29","AU","Australia","A","Credit-to-GDP ratios (actual data)",1967-04-01,60.6
"30","AU","Australia","A","Credit-to-GDP ratios (actual data)",1967-07-01,61.2
"31","AU","Australia","A","Credit-to-GDP ratios (actual data)",1967-10-01,61.8
"32","AU","Australia","A","Credit-to-GDP ratios (actual data)",1968-01-01,63
"33","AU","Australia","A","Credit-to-GDP ratios (actual data)",1968-04-01,63.8
"34","AU","Australia","A","Credit-to-GDP ratios (actual data)",1968-07-01,64.4
"35","AU","Australia","A","Credit-to-GDP ratios (actual data)",1968-10-01,64.4
"36","AU","Australia","A","Credit-to-GDP ratios (actual data)",1969-01-01,64
"37","AU","Australia","A","Credit-to-GDP ratios (actual data)",1969-04-01,63.6
"38","AU","Australia","A","Credit-to-GDP ratios (actual data)",1969-07-01,63
"39","AU","Australia","A","Credit-to-GDP ratios (actual data)",1969-10-01,62.8
