"ID","borrowers_country","cg_dtype","credit_gap_data_type","date","obs_value"
"1","FR","France","A","Credit-to-GDP ratios (actual data)",1969-10-01,95.9
"2","FR","France","A","Credit-to-GDP ratios (actual data)",1970-01-01,94.5
"3","FR","France","A","Credit-to-GDP ratios (actual data)",1970-04-01,94.1
"4","FR","France","A","Credit-to-GDP ratios (actual data)",1970-07-01,93.8
"5","FR","France","A","Credit-to-GDP ratios (actual data)",1970-10-01,99.1
"6","FR","France","A","Credit-to-GDP ratios (actual data)",1971-01-01,98.7
"7","FR","France","A","Credit-to-GDP ratios (actual data)",1971-04-01,99.7
"8","FR","France","A","Credit-to-GDP ratios (actual data)",1971-07-01,99.9
"9","FR","France","A","Credit-to-GDP ratios (actual data)",1971-10-01,103.2
"10","FR","France","A","Credit-to-GDP ratios (actual data)",1972-01-01,103.5
"11","FR","France","A","Credit-to-GDP ratios (actual data)",1972-04-01,106.2
"12","FR","France","A","Credit-to-GDP ratios (actual data)",1972-07-01,106.6
"13","FR","France","A","Credit-to-GDP ratios (actual data)",1972-10-01,109.8
"14","FR","France","A","Credit-to-GDP ratios (actual data)",1973-01-01,108.3
"15","FR","France","A","Credit-to-GDP ratios (actual data)",1973-04-01,109.9
"16","FR","France","A","Credit-to-GDP ratios (actual data)",1973-07-01,109.6
"17","FR","France","A","Credit-to-GDP ratios (actual data)",1973-10-01,110.8
"18","FR","France","A","Credit-to-GDP ratios (actual data)",1974-01-01,108.3
"19","FR","France","A","Credit-to-GDP ratios (actual data)",1974-04-01,107.3
"20","FR","France","A","Credit-to-GDP ratios (actual data)",1974-07-01,106.3
"21","FR","France","A","Credit-to-GDP ratios (actual data)",1974-10-01,108.7
"22","FR","France","A","Credit-to-GDP ratios (actual data)",1975-01-01,107
"23","FR","France","A","Credit-to-GDP ratios (actual data)",1975-04-01,106.3
"24","FR","France","A","Credit-to-GDP ratios (actual data)",1975-07-01,105.9
"25","FR","France","A","Credit-to-GDP ratios (actual data)",1975-10-01,109.5
"26","FR","France","A","Credit-to-GDP ratios (actual data)",1976-01-01,108.1
"27","FR","France","A","Credit-to-GDP ratios (actual data)",1976-04-01,107.2
"28","FR","France","A","Credit-to-GDP ratios (actual data)",1976-07-01,106.3
