"ID","borrowers_country","date","credit"
"1","GB","United Kingdom",1963-01-01,55.4
"2","GB","United Kingdom",1963-04-01,54.7
"3","GB","United Kingdom",1963-07-01,53.9
"4","GB","United Kingdom",1963-10-01,52.7
"5","GB","United Kingdom",1964-01-01,60
"6","GB","United Kingdom",1964-04-01,58.7
"7","GB","United Kingdom",1964-07-01,57.5
"8","GB","United Kingdom",1964-10-01,56.2
"9","GB","United Kingdom",1965-01-01,62.8
"10","GB","United Kingdom",1965-04-01,61.7
"11","GB","United Kingdom",1965-07-01,60.4
"12","GB","United Kingdom",1965-10-01,59.4
"13","GB","United Kingdom",1966-01-01,58.5
"14","GB","United Kingdom",1966-04-01,57.4
"15","GB","United Kingdom",1966-07-01,63.5
"16","GB","United Kingdom",1966-10-01,62.4
"17","GB","United Kingdom",1967-01-01,61.3
"18","GB","United Kingdom",1967-04-01,60.4
"19","GB","United Kingdom",1967-07-01,63.4
"20","GB","United Kingdom",1967-10-01,62.8
"21","GB","United Kingdom",1968-01-01,61.6
"22","GB","United Kingdom",1968-04-01,64.2
"23","GB","United Kingdom",1968-07-01,62.6
"24","GB","United Kingdom",1968-10-01,60.7
"25","GB","United Kingdom",1969-01-01,59.5
"26","GB","United Kingdom",1969-04-01,61.7
"27","GB","United Kingdom",1969-07-01,60.5
"28","GB","United Kingdom",1969-10-01,59.4
"29","GB","United Kingdom",1970-01-01,58
"30","GB","United Kingdom",1970-04-01,59.4
"31","GB","United Kingdom",1970-07-01,57.6
"32","GB","United Kingdom",1970-10-01,58.6
"33","GB","United Kingdom",1971-01-01,56.9
"34","GB","United Kingdom",1971-04-01,55.3
"35","GB","United Kingdom",1971-07-01,56.2
"36","GB","United Kingdom",1971-10-01,57.2
"37","GB","United Kingdom",1972-01-01,60.6
"38","GB","United Kingdom",1972-04-01,61.3
"39","GB","United Kingdom",1972-07-01,64.8
"40","GB","United Kingdom",1972-10-01,65.1
"41","GB","United Kingdom",1973-01-01,64.3
"42","GB","United Kingdom",1973-04-01,66.4
"43","GB","United Kingdom",1973-07-01,66
"44","GB","United Kingdom",1973-10-01,64
"45","GB","United Kingdom",1974-01-01,65.1
"46","GB","United Kingdom",1974-04-01,65
"47","GB","United Kingdom",1974-07-01,64.2
"48","GB","United Kingdom",1974-10-01,61.4
"49","GB","United Kingdom",1975-01-01,59.6
"50","GB","United Kingdom",1975-04-01,59.4
"51","GB","United Kingdom",1975-07-01,56.6
"52","GB","United Kingdom",1975-10-01,58
"53","GB","United Kingdom",1976-01-01,57.8
"54","GB","United Kingdom",1976-04-01,57.3
"55","GB","United Kingdom",1976-07-01,57.5
"56","GB","United Kingdom",1976-10-01,58.4
"57","GB","United Kingdom",1977-01-01,56.4
"58","GB","United Kingdom",1977-04-01,56.5
"59","GB","United Kingdom",1977-07-01,56
"60","GB","United Kingdom",1977-10-01,56.1
"61","GB","United Kingdom",1978-01-01,56
"62","GB","United Kingdom",1978-04-01,56.5
"63","GB","United Kingdom",1978-07-01,55.7
"64","GB","United Kingdom",1978-10-01,55.5
"65","GB","United Kingdom",1979-01-01,56.2
"66","GB","United Kingdom",1979-04-01,56.8
"67","GB","United Kingdom",1979-07-01,56.3
"68","GB","United Kingdom",1979-10-01,55.7
"69","GB","United Kingdom",1980-01-01,56.9
"70","GB","United Kingdom",1980-04-01,57.2
"71","GB","United Kingdom",1980-07-01,56.9
"72","GB","United Kingdom",1980-10-01,56.8
"73","GB","United Kingdom",1981-01-01,56.6
"74","GB","United Kingdom",1981-04-01,56.6
"75","GB","United Kingdom",1981-07-01,58.2
"76","GB","United Kingdom",1981-10-01,60.8
"77","GB","United Kingdom",1982-01-01,61.2
"78","GB","United Kingdom",1982-04-01,63.3
"79","GB","United Kingdom",1982-07-01,64.1
"80","GB","United Kingdom",1982-10-01,65.7
"81","GB","United Kingdom",1983-01-01,66.6
"82","GB","United Kingdom",1983-04-01,67.6
"83","GB","United Kingdom",1983-07-01,68
"84","GB","United Kingdom",1983-10-01,68.6
"85","GB","United Kingdom",1984-01-01,70.7
"86","GB","United Kingdom",1984-04-01,72.5
"87","GB","United Kingdom",1984-07-01,73.5
"88","GB","United Kingdom",1984-10-01,76.1
"89","GB","United Kingdom",1985-01-01,77.7
"90","GB","United Kingdom",1985-04-01,76.7
"91","GB","United Kingdom",1985-07-01,78.2
"92","GB","United Kingdom",1985-10-01,77.4
"93","GB","United Kingdom",1986-01-01,79.9
"94","GB","United Kingdom",1986-04-01,81.2
"95","GB","United Kingdom",1986-07-01,81.8
"96","GB","United Kingdom",1986-10-01,84.7
"97","GB","United Kingdom",1987-01-01,86.5
"98","GB","United Kingdom",1987-04-01,87.3
"99","GB","United Kingdom",1987-07-01,88.7
"100","GB","United Kingdom",1987-10-01,88.6
"101","GB","United Kingdom",1988-01-01,90.9
"102","GB","United Kingdom",1988-04-01,94.6
"103","GB","United Kingdom",1988-07-01,97.3
"104","GB","United Kingdom",1988-10-01,98.3
"105","GB","United Kingdom",1989-01-01,101.6
"106","GB","United Kingdom",1989-04-01,104.1
"107","GB","United Kingdom",1989-07-01,106.4
"108","GB","United Kingdom",1989-10-01,107.3
"109","GB","United Kingdom",1990-01-01,113
"110","GB","United Kingdom",1990-04-01,114.5
"111","GB","United Kingdom",1990-07-01,114.3
"112","GB","United Kingdom",1990-10-01,115.3
"113","GB","United Kingdom",1991-01-01,116.5
"114","GB","United Kingdom",1991-04-01,118.8
"115","GB","United Kingdom",1991-07-01,118.6
"116","GB","United Kingdom",1991-10-01,115.8
"117","GB","United Kingdom",1992-01-01,116.4
