"ID","borrowers_country","cg_dtype","credit_gap_data_type","date","obs_value"
"1","JP","Japan","A","Credit-to-GDP ratios (actual data)",1964-10-01,113.2
"2","JP","Japan","A","Credit-to-GDP ratios (actual data)",1965-01-01,114
"3","JP","Japan","A","Credit-to-GDP ratios (actual data)",1965-04-01,113.9
"4","JP","Japan","A","Credit-to-GDP ratios (actual data)",1965-07-01,116.5
"5","JP","Japan","A","Credit-to-GDP ratios (actual data)",1965-10-01,120.4
"6","JP","Japan","A","Credit-to-GDP ratios (actual data)",1966-01-01,120.7
"7","JP","Japan","A","Credit-to-GDP ratios (actual data)",1966-04-01,118.9
"8","JP","Japan","A","Credit-to-GDP ratios (actual data)",1966-07-01,120
"9","JP","Japan","A","Credit-to-GDP ratios (actual data)",1966-10-01,120.9
"10","JP","Japan","A","Credit-to-GDP ratios (actual data)",1967-01-01,120
"11","JP","Japan","A","Credit-to-GDP ratios (actual data)",1967-04-01,119.5
"12","JP","Japan","A","Credit-to-GDP ratios (actual data)",1967-07-01,120.5
"13","JP","Japan","A","Credit-to-GDP ratios (actual data)",1967-10-01,121.8
"14","JP","Japan","A","Credit-to-GDP ratios (actual data)",1968-01-01,120.7
"15","JP","Japan","A","Credit-to-GDP ratios (actual data)",1968-04-01,119.2
"16","JP","Japan","A","Credit-to-GDP ratios (actual data)",1968-07-01,119.2
"17","JP","Japan","A","Credit-to-GDP ratios (actual data)",1968-10-01,119.4
"18","JP","Japan","A","Credit-to-GDP ratios (actual data)",1969-01-01,118.9
"19","JP","Japan","A","Credit-to-GDP ratios (actual data)",1969-04-01,118.5
"20","JP","Japan","A","Credit-to-GDP ratios (actual data)",1969-07-01,119
"21","JP","Japan","A","Credit-to-GDP ratios (actual data)",1969-10-01,121.3
"22","JP","Japan","A","Credit-to-GDP ratios (actual data)",1970-01-01,118.9
"23","JP","Japan","A","Credit-to-GDP ratios (actual data)",1970-04-01,118.1
"24","JP","Japan","A","Credit-to-GDP ratios (actual data)",1970-07-01,118.6
"25","JP","Japan","A","Credit-to-GDP ratios (actual data)",1970-10-01,121.4
"26","JP","Japan","A","Credit-to-GDP ratios (actual data)",1971-01-01,122.6
"27","JP","Japan","A","Credit-to-GDP ratios (actual data)",1971-04-01,125
"28","JP","Japan","A","Credit-to-GDP ratios (actual data)",1971-07-01,128.9
"29","JP","Japan","A","Credit-to-GDP ratios (actual data)",1971-10-01,134.7
"30","JP","Japan","A","Credit-to-GDP ratios (actual data)",1972-01-01,135.6
"31","JP","Japan","A","Credit-to-GDP ratios (actual data)",1972-04-01,136.2
"32","JP","Japan","A","Credit-to-GDP ratios (actual data)",1972-07-01,139.3
"33","JP","Japan","A","Credit-to-GDP ratios (actual data)",1972-10-01,143.8
"34","JP","Japan","A","Credit-to-GDP ratios (actual data)",1973-01-01,143.5
"35","JP","Japan","A","Credit-to-GDP ratios (actual data)",1973-04-01,142.1
"36","JP","Japan","A","Credit-to-GDP ratios (actual data)",1973-07-01,142.1
"37","JP","Japan","A","Credit-to-GDP ratios (actual data)",1973-10-01,142.3
"38","JP","Japan","A","Credit-to-GDP ratios (actual data)",1974-01-01,140.4
