"ID","date","GDP"
"1","AU",1969-01-01,7838
"2","AU",1969-04-01,8255
"3","AU",1969-07-01,8786
"4","AU",1969-10-01,9793
"5","AU",1970-01-01,8866
"6","AU",1970-04-01,9406
"7","AU",1970-07-01,9689
"8","AU",1970-10-01,10587
"9","AU",1971-01-01,9746
"10","AU",1971-04-01,10292
"11","AU",1971-07-01,10774
"12","AU",1971-10-01,11797
"13","AU",1972-01-01,10602
"14","AU",1972-04-01,11311
"15","AU",1972-07-01,11668
"16","AU",1972-10-01,13132
"17","AU",1973-01-01,11920
"18","AU",1973-04-01,13027
"19","AU",1973-07-01,13875
"20","AU",1973-10-01,16335
"21","AU",1974-01-01,14787
"22","AU",1974-04-01,15275
"23","AU",1974-07-01,16432
"24","AU",1974-10-01,19386
"25","AU",1975-01-01,16972
"26","AU",1975-04-01,18369
"27","AU",1975-07-01,19036
"28","AU",1975-10-01,22529
"29","AU",1976-01-01,20027
"30","AU",1976-04-01,21642
"31","AU",1976-07-01,22891
"32","AU",1976-10-01,25758
"33","AU",1977-01-01,22872
"34","AU",1977-04-01,24553
"35","AU",1977-07-01,25373
"36","AU",1977-10-01,27746
"37","AU",1978-01-01,24902
"38","AU",1978-04-01,26899
"39","AU",1978-07-01,27744
"40","AU",1978-10-01,31402
"41","AU",1979-01-01,29102
"42","AU",1979-04-01,30339
"43","AU",1979-07-01,31565
"44","AU",1979-10-01,36322
"45","AU",1980-01-01,32357
"46","AU",1980-04-01,34181
"47","AU",1980-07-01,35872
"48","AU",1980-10-01,41235
"49","AU",1981-01-01,35842
"50","AU",1981-04-01,39194
"51","AU",1981-07-01,41524
"52","AU",1981-10-01,47856
"53","AU",1982-01-01,41201
"54","AU",1982-04-01,45034
"55","AU",1982-07-01,46028
"56","AU",1982-10-01,51353
"57","AU",1983-01-01,44337
"58","AU",1983-04-01,47440
"59","AU",1983-07-01,49701
"60","AU",1983-10-01,57406
"61","AU",1984-01-01,51621
"62","AU",1984-04-01,54651
"63","AU",1984-07-01,55497
"64","AU",1984-10-01,62688
"65","AU",1985-01-01,56033
"66","AU",1985-04-01,60755
"67","AU",1985-07-01,62731
"68","AU",1985-10-01,69611
"69","AU",1986-01-01,62216
"70","AU",1986-04-01,65684
"71","AU",1986-07-01,67759
"72","AU",1986-10-01,75419
"73","AU",1987-01-01,68656
"74","AU",1987-04-01,73872
"75","AU",1987-07-01,77335
"76","AU",1987-10-01,85093
"77","AU",1988-01-01,78384
"78","AU",1988-04-01,83081
"79","AU",1988-07-01,87164
"80","AU",1988-10-01,96392
"81","AU",1989-01-01,88887
"82","AU",1989-04-01,95083
"83","AU",1989-07-01,98102
"84","AU",1989-10-01,106038
"85","AU",1990-01-01,97615
"86","AU",1990-04-01,102096
"87","AU",1990-07-01,103071
"88","AU",1990-10-01,109989
"89","AU",1991-01-01,99272
"90","AU",1991-04-01,102141
"91","AU",1991-07-01,103820
"92","AU",1991-10-01,110556
"93","AU",1992-01-01,102587
"94","AU",1992-04-01,105470
"95","AU",1992-07-01,107700
"96","AU",1992-10-01,115719
"97","AU",1993-01-01,107875
"98","AU",1993-04-01,112089
"99","AU",1993-07-01,112778
"100","AU",1993-10-01,121588
"101","AU",1994-01-01,113256
"102","AU",1994-04-01,118131
"103","AU",1994-07-01,121754
"104","AU",1994-10-01,128525
"105","AU",1995-01-01,119467
"106","AU",1995-04-01,124821
"107","AU",1995-07-01,127854
"108","AU",1995-10-01,138549
"109","AU",1996-01-01,127734
"110","AU",1996-04-01,133463
"111","AU",1996-07-01,134901
"112","AU",1996-10-01,145623
"113","AU",1997-01-01,133346
"114","AU",1997-04-01,141421
"115","AU",1997-07-01,143061
"116","AU",1997-10-01,154383
"117","AU",1998-01-01,142232
"118","AU",1998-04-01,148421
"119","AU",1998-07-01,151216
"120","AU",1998-10-01,162023
"121","AU",1999-01-01,150789
"122","AU",1999-04-01,156114
"123","AU",1999-07-01,159513
"124","AU",1999-10-01,170317
"125","AU",2000-01-01,162709
"126","AU",2000-04-01,168621
"127","AU",2000-07-01,173371
"128","AU",2000-10-01,181056
"129","AU",2001-01-01,172583
"130","AU",2001-04-01,178055
"131","AU",2001-07-01,182427
"132","AU",2001-10-01,195346
"133","AU",2002-01-01,184094
"134","AU",2002-04-01,192386
"135","AU",2002-07-01,196044
"136","AU",2002-10-01,208460
"137","AU",2003-01-01,194529
"138","AU",2003-04-01,201927
"139","AU",2003-07-01,207284
"140","AU",2003-10-01,224263
"141","AU",2004-01-01,209955
"142","AU",2004-04-01,219537
"143","AU",2004-07-01,223853
"144","AU",2004-10-01,238921
"145","AU",2005-01-01,223644
"146","AU",2005-04-01,235952
"147","AU",2005-07-01,242452
"148","AU",2005-10-01,259648
"149","AU",2006-01-01,241032
"150","AU",2006-04-01,253298
"151","AU",2006-07-01,262545
"152","AU",2006-10-01,280807
"153","AU",2007-01-01,264262
"154","AU",2007-04-01,278979
"155","AU",2007-07-01,284268
"156","AU",2007-10-01,303903
"157","AU",2008-01-01,284404
"158","AU",2008-04-01,304739
"159","AU",2008-07-01,315554
"160","AU",2008-10-01,330411
"161","AU",2009-01-01,302528
"162","AU",2009-04-01,311652
"163","AU",2009-07-01,313540
"164","AU",2009-10-01,333912
"165","AU",2010-01-01,313992
"166","AU",2010-04-01,339766
"167","AU",2010-07-01,344705
"168","AU",2010-10-01,364695
"169","AU",2011-01-01,340872
"170","AU",2011-04-01,366350
"171","AU",2011-07-01,372413
"172","AU",2011-10-01,387858
"173","AU",2012-01-01,358179
"174","AU",2012-04-01,381008
"175","AU",2012-07-01,379773
"176","AU",2012-10-01,396334
"177","AU",2013-01-01,369447
"178","AU",2013-04-01,390753
"179","AU",2013-07-01,392466
"180","AU",2013-10-01,415455
"181","AU",2014-01-01,386790
"182","AU",2014-04-01,403819
"183","AU",2014-07-01,402051
"184","AU",2014-10-01,421352
"185","AU",2015-01-01,392148
"186","AU",2015-04-01,408842
"187","AU",2015-07-01,411407
"188","AU",2015-10-01,428422
"189","AU",2016-01-01,399044
"190","AU",2016-04-01,423464
"191","AU",2016-07-01,425005
"192","AU",2016-10-01,457685
"193","AU",2017-01-01,430844
"194","AU",2017-04-01,450977
"195","AU",2017-07-01,452919
"196","AU",2017-10-01,473587
"197","AU",2018-01-01,447787
"198","AU",2018-04-01,474399
"199","AU",2018-07-01,476761
"200","AU",2018-10-01,500038
"201","AU",2019-01-01,470456
"202","AU",2019-04-01,498958
"203","AT",1995-01-01,41523.809
"204","AT",1995-04-01,43891.254
"205","AT",1995-07-01,45131.169
"206","AT",1995-10-01,46062.514
"207","AT",1996-01-01,42847.237
"208","AT",1996-04-01,45340.343
"209","AT",1996-07-01,46565.03
"210","AT",1996-10-01,47788.27
"211","AT",1997-01-01,44064.014
"212","AT",1997-04-01,46667.806
"213","AT",1997-07-01,48180.91
"214","AT",1997-10-01,49811.039
"215","AT",1998-01-01,46109.93
"216","AT",1998-04-01,49020.625
"217","AT",1998-07-01,50103.283
"218","AT",1998-10-01,51112.784
"219","AT",1999-01-01,47721.203
"220","AT",1999-04-01,50590.964
"221","AT",1999-07-01,51973.679
"222","AT",1999-10-01,53564.738
"223","AT",2000-01-01,50345.098
"224","AT",2000-04-01,53112.965
"225","AT",2000-07-01,54136.255
"226","AT",2000-10-01,56012.157
"227","AT",2001-01-01,52795.094
"228","AT",2001-04-01,54881.763
"229","AT",2001-07-01,55512.61
"230","AT",2001-10-01,57335.607
"231","AT",2002-01-01,53910.123
"232","AT",2002-04-01,56414.576
"233","AT",2002-07-01,57634.531
"234","AT",2002-10-01,58775.988
"235","AT",2003-01-01,55286.499
"236","AT",2003-04-01,57576.271
"237","AT",2003-07-01,58754.725
"238","AT",2003-10-01,60244.965
"239","AT",2004-01-01,57511.342
"240","AT",2004-04-01,60057.342
"241","AT",2004-07-01,61655.182
"242","AT",2004-10-01,63124.38
