"date","ID","GDP_gap"
"AT-1999-01-01","1999-01-01","AT",-926218.26850328
"AT-1999-04-01","1999-04-01","AT",-873612.287516672
"AT-1999-07-01","1999-07-01","AT",-819991.709221393
"AT-1999-10-01","1999-10-01","AT",-767620.817871051
"AT-2000-01-01","2000-01-01","AT",-714757.574666991
"AT-2000-04-01","2000-04-01","AT",-662409.934303497
"AT-2000-07-01","2000-07-01","AT",-610586.026373932
"AT-2000-10-01","2000-10-01","AT",-557993.653334802
"AT-2001-01-01","2001-01-01","AT",-507859.781071591
"AT-2001-04-01","2001-04-01","AT",-457579.310868283
"AT-2001-07-01","2001-07-01","AT",-406526.091183059
"AT-2001-10-01","2001-10-01","AT",-354940.585635484
"AT-2002-01-01","2002-01-01","AT",-302361.82881996
"AT-2002-04-01","2002-04-01","AT",-250444.482343391
"AT-2002-07-01","2002-07-01","AT",-198209.190990076
"AT-2002-10-01","2002-10-01","AT",-146474.364774167
"AT-2003-01-01","2003-01-01","AT",-94613.2207198275
"AT-2003-04-01","2003-04-01","AT",-42432.4312452654
"AT-2003-07-01","2003-07-01","AT",10711.5786644272
"AT-2003-10-01","2003-10-01","AT",63840.1920350816
"AT-2004-01-01","2004-01-01","AT",119763.413695614
"AT-2004-04-01","2004-04-01","AT",173757.743466649
"AT-2004-07-01","2004-07-01","AT",228888.531458028
"AT-2004-10-01","2004-10-01","AT",282912.995313177
"AT-2005-01-01","2005-01-01","AT",337650.87206059
"AT-2005-04-01","2005-04-01","AT",395677.393539813
"AT-2005-07-01","2005-07-01","AT",451916.385293657
"AT-2005-10-01","2005-10-01","AT",509640.959241119
"AT-2006-01-01","2006-01-01","AT",568124.444321188
"AT-2006-04-01","2006-04-01","AT",626017.342180876
"AT-2006-07-01","2006-07-01","AT",685648.191793484
"AT-2006-10-01","2006-10-01","AT",746201.007117475
"AT-2007-01-01","2007-01-01","AT",805940.927538586
"AT-2007-04-01","2007-04-01","AT",867410.399580058
"AT-2007-07-01","2007-07-01","AT",926799.829903803
"AT-2007-10-01","2007-10-01","AT",987973.715916905
"AT-2008-01-01","2008-01-01","AT",1051700.36778263
"AT-2008-04-01","2008-04-01","AT",1110233.16347323
"AT-2008-07-01","2008-07-01","AT",1169183.12739181
"AT-2008-10-01","2008-10-01","AT",1224708.62725879
"AT-2009-01-01","2009-01-01","AT",1281854.30512333
"AT-2009-04-01","2009-04-01","AT",1341411.15719256
"AT-2009-07-01","2009-07-01","AT",1405011.22195246
"AT-2009-10-01","2009-10-01","AT",1471151.87360221
"AT-2010-01-01","2010-01-01","AT",1532368.43465904
"AT-2010-04-01","2010-04-01","AT",1601120.63086242
"AT-2010-07-01","2010-07-01","AT",1668280.71149077
"AT-2010-10-01","2010-10-01","AT",1734888.0477178
"AT-2011-01-01","2011-01-01","AT",1804254.96489662
"AT-2011-04-01","2011-04-01","AT",1870124.2664511
"AT-2011-07-01","2011-07-01","AT",1935647.2582468
"AT-2011-10-01","2011-10-01","AT",2001807.62631352
"AT-2012-01-01","2012-01-01","AT",2070266.84304303
"AT-2012-04-01","2012-04-01","AT",2134111.5883499
"AT-2012-07-01","2012-07-01","AT",2200280.71369768
"AT-2012-10-01","2012-10-01","AT",2265801.79219694
"AT-2013-01-01","2013-01-01","AT",2329887.43292237
"AT-2013-04-01","2013-04-01","AT",2396798.09025431
"AT-2013-07-01","2013-07-01","AT",2462503.28139117
"AT-2013-10-01","2013-10-01","AT",2528600.59222066
"AT-2014-01-01","2014-01-01","AT",2592647.55807208
"AT-2014-04-01","2014-04-01","AT",2656108.09545346
"AT-2014-07-01","2014-07-01","AT",2719492.42276228
"AT-2014-10-01","2014-10-01","AT",2782245.42069656
"AT-2015-01-01","2015-01-01","AT",2842771.46796394
"AT-2015-04-01","2015-04-01","AT",2904530.55233438
"AT-2015-07-01","2015-07-01","AT",2964542.29305518
"AT-2015-10-01","2015-10-01","AT",3021890.72655283
"AT-2016-01-01","2016-01-01","AT",3079920.08104338
"AT-2016-04-01","2016-04-01","AT",3135039.6101041
"AT-2016-07-01","2016-07-01","AT",3188597.55970752
"AT-2016-10-01","2016-10-01","AT",3241354.66783318
"AT-2017-01-01","2017-01-01","AT",3290178.77158913
"AT-2017-04-01","2017-04-01","AT",3338000.42554376
"AT-2017-07-01","2017-07-01","AT",3382925.23048058
"AT-2017-10-01","2017-10-01","AT",3423916.7157064
"AT-2018-01-01","2018-01-01","AT",3462990.20199513
"AT-2018-04-01","2018-04-01","AT",3497059.00709887
"AT-2018-07-01","2018-07-01","AT",3527830.26158613
"AT-2018-10-01","2018-10-01","AT",3556071.8841989
"AT-2019-01-01","2019-01-01","AT",3579506.66870347
"AT-2019-04-01","2019-04-01","AT",3597213.86747369
"AT-2019-07-01","2019-07-01","AT",3610422.46390607
"BE-1999-01-01","1999-01-01","BE",3568301.86063635
"BE-1999-04-01","1999-04-01","BE",3575026.83844577
"BE-1999-07-01","1999-07-01","BE",3576593.87732929
"BE-1999-10-01","1999-10-01","BE",3571650.08992888
"BE-2000-01-01","2000-01-01","BE",3559235.21726727
"BE-2000-04-01","2000-04-01","BE",3540447.4123945
"BE-2000-07-01","2000-07-01","BE",3514144.9865805
"BE-2000-10-01","2000-10-01","BE",3482334.1853029
"BE-2001-01-01","2001-01-01","BE",3440252.70929087
"BE-2001-04-01","2001-04-01","BE",3390246.26380924
"BE-2001-07-01","2001-07-01","BE",3331417.08514231
"BE-2001-10-01","2001-10-01","BE",3264316.48383586
"BE-2002-01-01","2002-01-01","BE",3191242.45092899
"BE-2002-04-01","2002-04-01","BE",3108844.24737815
"BE-2002-07-01","2002-07-01","BE",3015722.66823205
"BE-2002-10-01","2002-10-01","BE",2911954.31398664
"BE-2003-01-01","2003-01-01","BE",2795592.96003572
"BE-2003-04-01","2003-04-01","BE",2669756.78054296
"BE-2003-07-01","2003-07-01","BE",2533117.38273405
"BE-2003-10-01","2003-10-01","BE",2385536.97257084
"BE-2004-01-01","2004-01-01","BE",2228236.01710334
