"ID","reference_area","date","HPIndex","HPIndex_trend_1600","HPIndex_cycle_1600","HPIndex_cycle_1600"
"1","AT","Austria",2000-01-01,98.24,95.3030969756656,TRUE,2.93690302433437
"2","AT","Austria",2000-04-01,95.96,94.9036377107442,TRUE,1.05636228925579
"3","AT","Austria",2000-07-01,93.71,94.506014010213,TRUE,-0.796014010213
"4","AT","Austria",2000-10-01,92.72,94.112721664893,TRUE,-1.39272166489299
"5","AT","Austria",2001-01-01,96.56,93.7257589568488,TRUE,2.83424104315122
"6","AT","Austria",2001-04-01,91.51,93.3462537171044,TRUE,-1.83625371710444
"7","AT","Austria",2001-07-01,94.96,92.977105177336,TRUE,1.98289482266398
"8","AT","Austria",2001-10-01,90.76,92.6200649106463,TRUE,-1.86006491064629
"9","AT","Austria",2002-01-01,93.26,92.2781237994023,TRUE,0.981876200597711
"10","AT","Austria",2002-04-01,91.04,91.9531101854018,TRUE,-0.913110185401834
"11","AT","Austria",2002-07-01,93.97,91.6474660830682,TRUE,2.32253391693183
"12","AT","Austria",2002-10-01,91.11,91.3630628129586,TRUE,-0.253062812958618
"13","AT","Austria",2003-01-01,92.22,91.1032232793286,TRUE,1.1167767206714
"14","AT","Austria",2003-04-01,91.13,90.8711122221754,TRUE,0.258887777824583
"15","AT","Austria",2003-07-01,90,90.6705923669468,TRUE,-0.670592366946849
"16","AT","Austria",2003-10-01,92.06,90.5056882439518,TRUE,1.55431175604825
"17","AT","Austria",2004-01-01,84.68,90.3800052632697,TRUE,-5.70000526326969
"18","AT","Austria",2004-04-01,88.38,90.2981202798278,TRUE,-1.91812027982779
"19","AT","Austria",2004-07-01,88.39,90.2610476452635,TRUE,-1.87104764526347
"20","AT","Austria",2004-10-01,89.62,90.2686028860394,TRUE,-0.648602886039427
"21","AT","Austria",2005-01-01,89.31,90.31943212384,TRUE,-1.00943212383996
"22","AT","Austria",2005-04-01,89.84,90.4117761035457,TRUE,-0.571776103545687
"23","AT","Austria",2005-07-01,89.71,90.5432446749597,TRUE,-0.833244674959744
"24","AT","Austria",2005-10-01,91.49,90.7110903278206,TRUE,0.778909672179353
"25","AT","Austria",2006-01-01,92.37,90.912044773945,TRUE,1.45795522605503
"26","AT","Austria",2006-04-01,92.25,91.1433265436944,TRUE,1.10667345630557
"27","AT","Austria",2006-07-01,92.77,91.403065389447,TRUE,1.36693461055302
"28","AT","Austria",2006-10-01,92.36,91.6900827344908,TRUE,0.669917265509156
"29","AT","Austria",2007-01-01,94.57,92.0040543362458,TRUE,2.56594566375418
"30","AT","Austria",2007-04-01,95.38,92.3450746504226,TRUE,3.03492534957735
"31","AT","Austria",2007-07-01,95.81,92.7148418487719,TRUE,3.09515815122808
"32","AT","Austria",2007-10-01,93.16,93.1169509313877,TRUE,0.0430490686123051
"33","AT","Austria",2008-01-01,93.13,93.5569313722085,TRUE,-0.426931372208543
"34","AT","Austria",2008-04-01,91.16,94.0403395508409,TRUE,-2.88033955084094
"35","AT","Austria",2008-07-01,92.63,94.5724650147837,TRUE,-1.94246501478375
"36","AT","Austria",2008-10-01,94.05,95.1567970993164,TRUE,-1.10679709931644
"37","AT","Austria",2009-01-01,96.29,95.7956110990845,TRUE,0.494388900915553
"38","AT","Austria",2009-04-01,96.12,96.4904905605459,TRUE,-0.370490560545917
"39","AT","Austria",2009-07-01,95.56,97.2433280232222,TRUE,-1.68332802322222
"40","AT","Austria",2009-10-01,95.56,98.0557844700344,TRUE,-2.49578447003437
"41","AT","Austria",2010-01-01,100.28,98.9284688038887,TRUE,1.35153119611128
"42","AT","Austria",2010-04-01,99.49,99.8604300623981,TRUE,-0.370430062398057
"43","AT","Austria",2010-07-01,99.76,100.851561990173,TRUE,-1.09156199017254
"44","AT","Austria",2010-10-01,100.47,101.901526813034,TRUE,-1.43152681303356
"45","AT","Austria",2011-01-01,101.96,103.009304530558,TRUE,-1.04930453055843
"46","AT","Austria",2011-04-01,97.7,104.172980438067,TRUE,-6.47298043806676
"47","AT","Austria",2011-07-01,102.11,105.389984015546,TRUE,-3.27998401554591
"48","AT","Austria",2011-10-01,101.99,106.65369913021,TRUE,-4.66369913020979
"49","AT","Austria",2012-01-01,110.04,107.955459659262,TRUE,2.08454034073756
"50","AT","Austria",2012-04-01,110.41,109.283684667952,TRUE,1.12631533204829
"51","AT","Austria",2012-07-01,111.66,110.628096059238,TRUE,1.03190394076175
"52","AT","Austria",2012-10-01,110.62,111.979119683165,TRUE,-1.35911968316539
"53","AT","Austria",2013-01-01,112.64,113.327826329739,TRUE,-0.687826329739366
"54","AT","Austria",2013-04-01,113.46,114.664437339164,TRUE,-1.20443733916443
"55","AT","Austria",2013-07-01,114.81,115.978744160189,TRUE,-1.16874416018877
"56","AT","Austria",2013-10-01,113.38,117.259785468224,TRUE,-3.87978546822355
"57","AT","Austria",2014-01-01,115.35,118.49586947358,TRUE,-3.14586947357989
"58","AT","Austria",2014-04-01,116.88,119.672879520651,TRUE,-2.79287952065116
"59","AT","Austria",2014-07-01,115.6,120.77473278541,TRUE,-5.17473278540983
"60","AT","Austria",2014-10-01,114.53,121.783600894128,TRUE,-7.25360089412797
"61","AT","Austria",2015-01-01,118.51,122.678421265087,TRUE,-4.16842126508676
"62","AT","Austria",2015-04-01,117.37,123.433597816008,TRUE,-6.06359781600845
"63","AT","Austria",2015-07-01,119.17,124.020929201325,TRUE,-4.85092920132475
"64","AT","Austria",2015-10-01,122.28,124.408424326832,TRUE,-2.12842432683216
"65","AT","Austria",2016-01-01,126.86,124.561060267577,TRUE,2.29893973242304
"66","AT","Austria",2016-04-01,127.83,124.4424838334,TRUE,3.38751616659989
"67","AT","Austria",2016-07-01,126.8,124.017778671476,TRUE,2.78222132852362
"68","AT","Austria",2016-10-01,126.19,123.254145626584,TRUE,2.93585437341584
"69","AT","Austria",2017-01-01,127.19,122.120524431832,TRUE,5.06947556816755
"70","AT","Austria",2017-04-01,129.94,120.587689729313,TRUE,9.35231027068708
"71","AT","Austria",2017-07-01,129.79,118.629584583348,TRUE,11.1604154166522
"72","AT","Austria",2017-10-01,129.29,116.225997252178,TRUE,13.0640027478218
"73","AT","Austria",2018-01-01,134.1,113.363691253681,TRUE,20.736308746319
"74","AT","Austria",2018-04-01,133.76,110.037595107451,TRUE,23.7224048925488
"75","AT","Austria",2018-07-01,137.2,106.255597526049,TRUE,30.9444024739509
"76","AT","Austria",2018-10-01,135.97,102.040413725093,TRUE,33.9295862749069
"77","AT","Austria",2019-01-01,138.32,97.4340991717489,TRUE,40.8859008282511
"78","AT","Austria",2019-04-01,141.19,92.4999153246022,TRUE,48.6900846753978
"79","AT","Austria",2019-07-01,142.37,87.3266773302574,TRUE,55.0433226697426
"80","AU","Australia",1970-01-01,31.31,82.0336316382408,TRUE,-50.7236316382408
"81","AU","Australia",1970-04-01,31.55,76.7744267747471,TRUE,-45.2244267747471
"82","AU","Australia",1970-07-01,32.1,71.6710089961976,TRUE,-39.5710089961976
"83","AU","Australia",1970-10-01,32.44,66.8170592922789,TRUE,-34.3770592922789
"84","AU","Australia",1971-01-01,33.02,62.2815267720548,TRUE,-29.2615267720548
"85","AU","Australia",1971-04-01,33.45,58.1118748825326,TRUE,-24.6618748825326
"86","AU","Australia",1971-07-01,33.48,54.3372786164857,TRUE,-20.8572786164857
"87","AU","Australia",1971-10-01,34.11,50.9714992948867,TRUE,-16.8614992948867
"88","AU","Australia",1972-01-01,34.53,48.0152624395724,TRUE,-13.4852624395724
"89","AU","Australia",1972-04-01,34.8,45.4587551353204,TRUE,-10.6587551353204
