"ID","date","cg_dtype","credit_gap_data_type","credit","reference_area","HPIndex"
"1","FR","1970-01-01","A","Credit-to-GDP ratios (actual data)",94.5,"France",40.5273
"2","FR","1970-04-01","A","Credit-to-GDP ratios (actual data)",94.1,"France",40.6816
"3","FR","1970-07-01","A","Credit-to-GDP ratios (actual data)",93.8,"France",41.1835
"4","FR","1970-10-01","A","Credit-to-GDP ratios (actual data)",99.1,"France",40.6347
"5","FR","1971-01-01","A","Credit-to-GDP ratios (actual data)",98.7,"France",40.0722
"6","FR","1971-04-01","A","Credit-to-GDP ratios (actual data)",99.7,"France",40.5359
"7","FR","1971-07-01","A","Credit-to-GDP ratios (actual data)",99.9,"France",41.5984
"8","FR","1971-10-01","A","Credit-to-GDP ratios (actual data)",103.2,"France",41.3924
"9","FR","1972-01-01","A","Credit-to-GDP ratios (actual data)",103.5,"France",41.1382
"10","FR","1972-04-01","A","Credit-to-GDP ratios (actual data)",106.2,"France",41.8191
"11","FR","1972-07-01","A","Credit-to-GDP ratios (actual data)",106.6,"France",42.8198
"12","FR","1972-10-01","A","Credit-to-GDP ratios (actual data)",109.8,"France",42.4634
"13","FR","1973-01-01","A","Credit-to-GDP ratios (actual data)",108.3,"France",42.3678
"14","FR","1973-04-01","A","Credit-to-GDP ratios (actual data)",109.9,"France",43.0217
"15","FR","1973-07-01","A","Credit-to-GDP ratios (actual data)",109.6,"France",44.0652
"16","FR","1973-10-01","A","Credit-to-GDP ratios (actual data)",110.8,"France",43.8132
"17","FR","1974-01-01","A","Credit-to-GDP ratios (actual data)",108.3,"France",43.3315
"18","FR","1974-04-01","A","Credit-to-GDP ratios (actual data)",107.3,"France",43.5157
"19","FR","1974-07-01","A","Credit-to-GDP ratios (actual data)",106.3,"France",44.3318
"20","FR","1974-10-01","A","Credit-to-GDP ratios (actual data)",108.7,"France",43.8655
"21","FR","1975-01-01","A","Credit-to-GDP ratios (actual data)",107,"France",42.8254
"22","FR","1975-04-01","A","Credit-to-GDP ratios (actual data)",106.3,"France",43.3515
"23","FR","1975-07-01","A","Credit-to-GDP ratios (actual data)",105.9,"France",44.5404
"24","FR","1975-10-01","A","Credit-to-GDP ratios (actual data)",109.5,"France",44.634
"25","FR","1976-01-01","A","Credit-to-GDP ratios (actual data)",108.1,"France",44.5969
"26","FR","1976-04-01","A","Credit-to-GDP ratios (actual data)",107.2,"France",45.8811
"27","FR","1976-07-01","A","Credit-to-GDP ratios (actual data)",106.3,"France",47.4708
"28","FR","1976-10-01","A","Credit-to-GDP ratios (actual data)",107.6,"France",47.4095
"29","FR","1977-01-01","A","Credit-to-GDP ratios (actual data)",105.9,"France",47.5637
"30","FR","1977-04-01","A","Credit-to-GDP ratios (actual data)",105.7,"France",48.217
"31","FR","1977-07-01","A","Credit-to-GDP ratios (actual data)",105.9,"France",49.5936
"32","FR","1977-10-01","A","Credit-to-GDP ratios (actual data)",107.9,"France",49.6723
"33","FR","1978-01-01","A","Credit-to-GDP ratios (actual data)",110.2,"France",49.3925
"34","FR","1978-04-01","A","Credit-to-GDP ratios (actual data)",109,"France",49.5785
"35","FR","1978-07-01","A","Credit-to-GDP ratios (actual data)",106.7,"France",50.3032
"36","FR","1978-10-01","A","Credit-to-GDP ratios (actual data)",107.4,"France",50.1273
"37","FR","1979-01-01","A","Credit-to-GDP ratios (actual data)",105.9,"France",49.7524
"38","FR","1979-04-01","A","Credit-to-GDP ratios (actual data)",106.3,"France",50.3949
"39","FR","1979-07-01","A","Credit-to-GDP ratios (actual data)",105.4,"France",51.653
"40","FR","1979-10-01","A","Credit-to-GDP ratios (actual data)",106.9,"France",52.0474
"41","FR","1980-01-01","A","Credit-to-GDP ratios (actual data)",105.3,"France",52.1576
"42","FR","1980-04-01","A","Credit-to-GDP ratios (actual data)",106.8,"France",53.5377
"43","FR","1980-07-01","A","Credit-to-GDP ratios (actual data)",106.5,"France",55.0964
"44","FR","1980-10-01","A","Credit-to-GDP ratios (actual data)",108,"France",54.3833
"45","FR","1981-01-01","A","Credit-to-GDP ratios (actual data)",108.3,"France",53.3237
"46","FR","1981-04-01","A","Credit-to-GDP ratios (actual data)",108,"France",53.1678
"47","FR","1981-07-01","A","Credit-to-GDP ratios (actual data)",107.7,"France",53.0271
"48","FR","1981-10-01","A","Credit-to-GDP ratios (actual data)",108.5,"France",51.4435
"49","FR","1982-01-01","A","Credit-to-GDP ratios (actual data)",107.2,"France",49.811
"50","FR","1982-04-01","A","Credit-to-GDP ratios (actual data)",106.9,"France",49.407
"51","FR","1982-07-01","A","Credit-to-GDP ratios (actual data)",106.4,"France",50.307
"52","FR","1982-10-01","A","Credit-to-GDP ratios (actual data)",108.6,"France",49.3556
"53","FR","1983-01-01","A","Credit-to-GDP ratios (actual data)",108.4,"France",47.8578
"54","FR","1983-04-01","A","Credit-to-GDP ratios (actual data)",109.1,"France",47.6384
