"ID","date","cg_dtype","credit_gap_data_type","credit","reference_area","HPIndex"
"1","GB","1968-04-01","A","Credit-to-GDP ratios (actual data)",64.2,"United Kingdom",22.4927
"2","GB","1968-07-01","A","Credit-to-GDP ratios (actual data)",62.6,"United Kingdom",23.048
"3","GB","1968-10-01","A","Credit-to-GDP ratios (actual data)",60.7,"United Kingdom",22.7745
"4","GB","1969-01-01","A","Credit-to-GDP ratios (actual data)",59.5,"United Kingdom",22.3761
"5","GB","1969-04-01","A","Credit-to-GDP ratios (actual data)",61.7,"United Kingdom",22.5858
"6","GB","1969-07-01","A","Credit-to-GDP ratios (actual data)",60.5,"United Kingdom",22.5858
"7","GB","1969-10-01","A","Credit-to-GDP ratios (actual data)",59.4,"United Kingdom",22.7883
"8","GB","1970-01-01","A","Credit-to-GDP ratios (actual data)",58,"United Kingdom",22.4096
"9","GB","1970-04-01","A","Credit-to-GDP ratios (actual data)",59.4,"United Kingdom",21.8645
"10","GB","1970-07-01","A","Credit-to-GDP ratios (actual data)",57.6,"United Kingdom",22.7399
"11","GB","1970-10-01","A","Credit-to-GDP ratios (actual data)",58.6,"United Kingdom",22.2637
"12","GB","1971-01-01","A","Credit-to-GDP ratios (actual data)",56.9,"United Kingdom",22.2249
"13","GB","1971-04-01","A","Credit-to-GDP ratios (actual data)",55.3,"United Kingdom",22.0237
"14","GB","1971-07-01","A","Credit-to-GDP ratios (actual data)",56.2,"United Kingdom",23.1038
"15","GB","1971-10-01","A","Credit-to-GDP ratios (actual data)",57.2,"United Kingdom",23.8771
"16","GB","1972-01-01","A","Credit-to-GDP ratios (actual data)",60.6,"United Kingdom",25.0096
"17","GB","1972-04-01","A","Credit-to-GDP ratios (actual data)",61.3,"United Kingdom",26.8894
"18","GB","1972-07-01","A","Credit-to-GDP ratios (actual data)",64.8,"United Kingdom",30.2407
"19","GB","1972-10-01","A","Credit-to-GDP ratios (actual data)",65.1,"United Kingdom",31.8063
"20","GB","1973-01-01","A","Credit-to-GDP ratios (actual data)",64.3,"United Kingdom",35.0269
"21","GB","1973-04-01","A","Credit-to-GDP ratios (actual data)",66.4,"United Kingdom",35.5975
"22","GB","1973-07-01","A","Credit-to-GDP ratios (actual data)",66,"United Kingdom",37.165
"23","GB","1973-10-01","A","Credit-to-GDP ratios (actual data)",64,"United Kingdom",36.1656
"24","GB","1974-01-01","A","Credit-to-GDP ratios (actual data)",65.1,"United Kingdom",35.3076
"25","GB","1974-04-01","A","Credit-to-GDP ratios (actual data)",65,"United Kingdom",33.4323
"26","GB","1974-07-01","A","Credit-to-GDP ratios (actual data)",64.2,"United Kingdom",33.0259
"27","GB","1974-10-01","A","Credit-to-GDP ratios (actual data)",61.4,"United Kingdom",31.9127
"28","GB","1975-01-01","A","Credit-to-GDP ratios (actual data)",59.6,"United Kingdom",30.6434
"29","GB","1975-04-01","A","Credit-to-GDP ratios (actual data)",59.4,"United Kingdom",28.7928
"30","GB","1975-07-01","A","Credit-to-GDP ratios (actual data)",56.6,"United Kingdom",28.4886
"31","GB","1975-10-01","A","Credit-to-GDP ratios (actual data)",58,"United Kingdom",27.8298
"32","GB","1976-01-01","A","Credit-to-GDP ratios (actual data)",57.8,"United Kingdom",27.5648
"33","GB","1976-04-01","A","Credit-to-GDP ratios (actual data)",57.3,"United Kingdom",27.4069
"34","GB","1976-07-01","A","Credit-to-GDP ratios (actual data)",57.5,"United Kingdom",27.3075
"35","GB","1976-10-01","A","Credit-to-GDP ratios (actual data)",58.4,"United Kingdom",26.6519
"36","GB","1977-01-01","A","Credit-to-GDP ratios (actual data)",56.4,"United Kingdom",25.5079
"37","GB","1977-04-01","A","Credit-to-GDP ratios (actual data)",56.5,"United Kingdom",24.9473
"38","GB","1977-07-01","A","Credit-to-GDP ratios (actual data)",56,"United Kingdom",25.1914
"39","GB","1977-10-01","A","Credit-to-GDP ratios (actual data)",56.1,"United Kingdom",25.761
"40","GB","1978-01-01","A","Credit-to-GDP ratios (actual data)",56,"United Kingdom",25.8738
"41","GB","1978-04-01","A","Credit-to-GDP ratios (actual data)",56.5,"United Kingdom",26.522
"42","GB","1978-07-01","A","Credit-to-GDP ratios (actual data)",55.7,"United Kingdom",27.8133
"43","GB","1978-10-01","A","Credit-to-GDP ratios (actual data)",55.5,"United Kingdom",29.4838
"44","GB","1979-01-01","A","Credit-to-GDP ratios (actual data)",56.2,"United Kingdom",30.2761
"45","GB","1979-04-01","A","Credit-to-GDP ratios (actual data)",56.8,"United Kingdom",31.7296
"46","GB","1979-07-01","A","Credit-to-GDP ratios (actual data)",56.3,"United Kingdom",32.1716
"47","GB","1979-10-01","A","Credit-to-GDP ratios (actual data)",55.7,"United Kingdom",33.2983
"48","GB","1980-01-01","A","Credit-to-GDP ratios (actual data)",56.9,"United Kingdom",33.7475
"49","GB","1980-04-01","A","Credit-to-GDP ratios (actual data)",57.2,"United Kingdom",33.2026
"50","GB","1980-07-01","A","Credit-to-GDP ratios (actual data)",56.9,"United Kingdom",33.8062
"51","GB","1980-10-01","A","Credit-to-GDP ratios (actual data)",56.8,"United Kingdom",33.3632
"52","GB","1981-01-01","A","Credit-to-GDP ratios (actual data)",56.6,"United Kingdom",32.5538
"53","GB","1981-04-01","A","Credit-to-GDP ratios (actual data)",56.6,"United Kingdom",31.9242
"54","GB","1981-07-01","A","Credit-to-GDP ratios (actual data)",58.2,"United Kingdom",31.7994
"55","GB","1981-10-01","A","Credit-to-GDP ratios (actual data)",60.8,"United Kingdom",30.6237
"56","GB","1982-01-01","A","Credit-to-GDP ratios (actual data)",61.2,"United Kingdom",29.5516
