year	quarter	ffrate	gdpd	urate
1955	1	1.34	19.59	4.73
1955	2	1.49	19.67	4.40
1955	3	1.92	19.82	4.10
1955	4	2.36	20.02	4.23
1956	1	2.48	20.22	4.03
1956	2	2.69	20.33	4.20
1956	3	2.81	20.59	4.13
1956	4	2.93	20.67	4.13
1957	1	2.96	20.96	3.93
1957	2	3.00	21.10	4.10
1957	3	3.24	21.23	4.23
1957	4	3.23	21.23	4.93
1958	1	1.86	21.47	6.30
1958	2	0.94	21.55	7.37
1958	3	1.32	21.69	7.33
1958	4	2.16	21.82	6.37
1959	1	2.56	21.83	5.83
1959	2	3.08	21.83	5.10
1959	3	3.57	21.88	5.27
1959	4	3.99	21.98	5.60
1960	1	3.93	22.08	5.13
1960	2	3.70	22.15	5.23
1960	3	2.94	22.23	5.53
1960	4	2.30	22.30	6.27
1961	1	2.00	22.35	6.80
1961	2	1.74	22.40	7.00
1961	3	1.68	22.46	6.77
1961	4	2.40	22.53	6.20
1962	1	2.40	22.67	5.63
1962	2	2.55	22.71	5.53
1962	3	2.85	22.76	5.57
1962	4	2.92	22.83	5.53
1963	1	2.96	22.91	5.77
1963	2	2.96	22.94	5.73
1963	3	3.33	22.98	5.50
1963	4	3.45	23.16	5.57
1964	1	3.46	23.22	5.47
1964	2	3.49	23.28	5.20
1964	3	3.46	23.37	5.00
1964	4	3.58	23.49	4.97
1965	1	3.97	23.61	4.90
1965	2	4.08	23.71	4.67
1965	3	4.07	23.81	4.37
1965	4	4.17	23.97	4.10
1966	1	4.56	24.13	3.87
1966	2	4.91	24.32	3.83
1966	3	5.41	24.58	3.77
1966	4	5.57	24.79	3.70
1967	1	4.82	24.89	3.83
1967	2	3.99	25.05	3.83
1967	3	3.89	25.31	3.80
1967	4	4.17	25.59	3.90
1968	1	4.79	25.88	3.73
1968	2	5.98	26.14	3.57
1968	3	5.94	26.39	3.53
1968	4	5.92	26.76	3.40
1969	1	6.58	27.03	3.40
1969	2	8.33	27.39	3.43
1969	3	8.98	27.79	3.57
1969	4	8.94	28.15	3.57
1970	1	8.57	28.55	4.17
1970	2	7.88	28.94	4.77
1970	3	6.70	29.18	5.17
1970	4	5.57	29.56	5.83
1971	1	3.86	30.00	5.93
1971	2	4.56	30.40	5.90
1971	3	5.48	30.71	6.03
1971	4	4.75	30.96	5.93
1972	1	3.54	31.41	5.77
1972	2	4.30	31.61	5.70
1972	3	4.74	31.92	5.57
1972	4	5.14	32.32	5.37
1973	1	6.54	32.71	4.93
1973	2	7.82	33.25	4.93
1973	3	10.56	33.86	4.80
1973	4	10.00	34.58	4.77
1974	1	9.32	35.20	5.13
1974	2	11.25	36.02	5.20
1974	3	12.09	37.09	5.63
1974	4	9.35	38.20	6.60
1975	1	6.30	39.08	8.27
1975	2	5.42	39.63	8.87
1975	3	6.16	40.33	8.47
1975	4	5.41	41.05	8.30
1976	1	4.83	41.50	7.73
1976	2	5.20	41.92	7.57
1976	3	5.28	42.50	7.73
1976	4	4.88	43.27	7.77
1977	1	4.66	43.97	7.50
1977	2	5.16	44.69	7.13
1977	3	5.82	45.23	6.90
1977	4	6.51	46.16	6.67
1978	1	6.76	46.86	6.33
1978	2	7.28	47.77	6.00
1978	3	8.10	48.60	6.03
1978	4	9.58	49.59	5.90
1979	1	10.07	50.55	5.87
1979	2	10.18	51.71	5.70
1979	3	10.95	52.81	5.87
1979	4	13.58	53.90	5.97
1980	1	15.05	55.11	6.30
1980	2	12.69	56.34	7.33
1980	3	9.84	57.60	7.67
1980	4	15.85	59.13	7.40
1981	1	16.57	60.66	7.43
1981	2	17.78	61.76	7.40
1981	3	17.58	62.95	7.40
1981	4	13.59	64.10	8.23
1982	1	14.23	64.99	8.83
1982	2	14.51	65.83	9.43
1982	3	11.01	66.75	9.90
1982	4	9.29	67.45	10.67
1983	1	8.65	67.95	10.37
1983	2	8.80	68.56	10.13
1983	3	9.46	69.16	9.37
1983	4	9.43	69.77	8.53
1984	1	9.69	70.59	7.87
1984	2	10.56	71.16	7.43
1984	3	11.39	71.73	7.43
1984	4	9.27	72.24	7.30
1985	1	8.48	73.00	7.23
1985	2	7.92	73.50	7.30
1985	3	7.90	73.85	7.20
1985	4	8.10	74.39	7.03
1986	1	7.83	74.68	7.03
1986	2	6.92	75.05	7.17
1986	3	6.21	75.51	6.97
1986	4	6.27	76.01	6.83
1987	1	6.22	76.70	6.60
1987	2	6.65	77.27	6.27
1987	3	6.84	77.84	6.00
1987	4	6.92	78.46	5.83
1988	1	6.66	78.98	5.70
1988	2	7.16	79.79	5.47
1988	3	7.98	80.71	5.47
1988	4	8.47	81.33	5.33
1989	1	9.44	82.20	5.20
1989	2	9.73	83.01	5.23
1989	3	9.08	83.62	5.23
1989	4	8.61	84.24	5.37
1990	1	8.25	85.18	5.30
1990	2	8.24	86.16	5.33
1990	3	8.16	86.99	5.70
1990	4	7.74	87.74	6.13
1991	1	6.43	88.76	6.60
1991	2	5.86	89.40	6.83
1991	3	5.64	89.99	6.87
1991	4	4.82	90.47	7.10
1992	1	4.02	91.16	7.37
1992	2	3.77	91.67	7.60
1992	3	3.26	91.97	7.63
1992	4	3.04	92.55	7.37
1993	1	3.04	93.32	7.13
1993	2	3.00	93.82	7.07
1993	3	3.06	94.24	6.80
1993	4	2.99	94.79	6.63
1994	1	3.21	95.28	6.57
1994	2	3.94	95.71	6.20
1994	3	4.49	96.28	6.00
1994	4	5.17	96.74	5.63
1995	1	5.81	97.45	5.47
1995	2	6.02	97.86	5.67
1995	3	5.80	98.30	5.67
1995	4	5.72	98.78	5.57
1996	1	5.36	99.39	5.53
1996	2	5.24	99.74	5.50
1996	3	5.31	100.22	5.27
1996	4	5.28	100.63	5.33
1997	1	5.28	101.34	5.27
1997	2	5.52	101.82	5.00
1997	3	5.53	102.12	4.87
1997	4	5.51	102.49	4.67
1998	1	5.52	102.74	4.67
1998	2	5.50	103.03	4.43
1998	3	5.53	103.41	4.50
1998	4	4.86	103.70	4.43
1999	1	4.73	104.29	4.30
1999	2	4.75	104.65	4.30
1999	3	5.09	104.89	4.23
1999	4	5.31	105.24	4.10
2000	1	5.68	106.10	4.03
2000	2	6.27	106.73	4.03
2000	3	6.52	107.15	4.00
2000	4	6.47	107.70	3.97
