year	month	gm	sp
1990	1	-0.014793	-0.068817
1990	2	0.096096	0.008539
1990	3	0.022284	0.024255
1990	4	-0.035422	-0.026887
1990	5	0.115819	0.091989
1990	6	-0.020566	-0.008886
1990	7	-0.020997	-0.005223
1990	8	-0.131367	-0.094314
1990	9	-0.08805	-0.051184
1990	10	0.013793	-0.006698
1990	11	0.013605	0.059934
1990	12	-0.058219	0.024828
1991	1	0.054545	0.041518
1991	2	0.10069	0.067281
1991	3	-0.044304	0.022203
1991	4	-0.05298	0.000346
1991	5	0.217483	0.038577
1991	6	-0.055072	-0.047893
1991	7	-0.02454	0.044859
1991	8	-0.033962	0.019649
1991	9	-0.016447	-0.019144
1991	10	-0.060201	0.01186
1991	11	-0.113167	-0.043928
1991	12	-0.060976	0.111588
1992	1	0.121212	-0.0199
1992	2	0.170656	0.009565
1992	3	-0.023333	-0.021832
1992	4	0.133106	0.027893
1992	5	-0.039157	0.000964
1992	6	0.11348	-0.017359
1992	7	-0.053977	0.039374
1992	8	-0.158559	-0.023998
1992	9	-0.072202	0.009106
1992	10	-0.042802	0.002106
1992	11	0.055285	0.030262
1992	12	0	0.010108
1993	1	0.170543	0.007046
1993	2	-0.007947	0.010484
1993	3	0.010067	0.018697
1993	4	0.086379	-0.025417
1993	5	-0.013456	0.022717
1993	6	0.109034	0.000755
1993	7	0.089888	-0.005327
1993	8	-0.029381	0.034432
1993	9	-0.109333	-0.009988
1993	10	0.140719	0.019393
1993	11	0.111811	-0.012911
1993	12	0.040284	0.010091
1994	1	0.116173	0.032501
1994	2	-0.045714	-0.030045
1994	3	-0.075107	-0.045746
1994	4	0.053364	0.011531
1994	5	-0.049339	0.012419
1994	6	-0.065116	-0.026812
1994	7	0.022388	0.031467
1994	8	-0.018005	0.037643
1994	9	-0.067164	-0.026898
1994	10	-0.157333	0.020834
1994	11	-0.029747	-0.039505
1994	12	0.104918	0.012299
1995	1	-0.077151	0.024278
1995	2	0.101608	0.036074
1995	3	0.032258	0.027329
1995	4	0.025568	0.02796
1995	5	0.07036	0.036312
1995	6	-0.023438	0.021279
1995	7	0.04	0.031776
1995	8	-0.027179	-0.00032
1995	9	-0.005305	0.040098
1995	10	-0.066667	-0.004979
1995	11	0.115429	0.041049
1995	12	0.090206	0.017444
1996	1	-0.004728	0.032617
1996	2	-0.018527	0.006934
1996	3	0.039024	0.007917
1996	4	0.018779	0.013431
1996	5	0.023502	0.022853
1996	6	-0.049887	0.002257
1996	7	-0.069212	-0.045748
1996	8	0.026154	0.018814
1996	9	-0.032746	0.054173
1996	10	0.117188	0.026131
1996	11	0.082051	0.073376
1996	12	-0.032538	-0.021505
1997	1	0.058296	0.061317
1997	2	-0.010593	0.005928
1997	3	-0.043197	-0.042614
1997	4	0.045147	0.058406
1997	5	0	0.058577
1997	6	-0.028322	0.043453
1997	7	0.109865	0.078123
1997	8	0.022222	-0.057446
1997	9	0.066733	0.053154
1997	10	-0.041083	-0.034478
1997	11	-0.042843	0.044587
1997	12	0.058036	0.015732
1998	1	-0.046296	0.01015
1998	2	0.19849	0.070449
1998	3	-0.017226	0.049946
1998	4	-0.005535	0.009076
1998	5	0.074212	-0.018826
1998	6	-0.070435	0.039438
1998	7	0.08232	-0.011615
1998	8	-0.189283	-0.145797
1998	9	-0.055914	0.062396
1998	10	0.151481	0.080294
1998	11	0.113749	0.059126
1998	12	0.02415	0.056375
1999	1	0.254148	0.041009
1999	2	-0.074513	-0.032283
1999	3	0.054353	0.038794
1999	4	0.023707	0.037944
1999	5	-0.071253	-0.02497
1999	6	-0.043478	0.054438
1999	7	-0.073864	-0.032046
1999	8	0.092025	-0.006254
