"","Credit","HPIndex"
"88",55.7,57.71
"89",56.6,55.49
"90",57,55.66
"91",57.5,53.78
"92",57.4,52.85
"93",58.2,50.39
"94",58.6,50.89
"95",58.4,49.93
"96",58,48.95
"97",58.2,46.87
"98",58.9,47.11
"99",58.8,45.02
"100",58.1,45.23
"101",58,44.7
"102",57.9,45.57
"103",57.9,44.62
"104",57.8,45.05
"105",57.7,44.99
"106",57.8,45.85
"107",57.8,45.41
"108",57.7,44.64
"109",57.6,44.5
"110",57.7,44.81
"111",57.6,43.95
"112",57.1,44.35
"113",57.1,43.94
"114",56.8,45.62
"115",56.4,46.11
"116",56.3,46.74
"117",56.6,47.24
"118",56.8,49.44
"119",57.1,48.88
"120",57.3,50.2
"121",57.7,52.31
"122",58.6,54.61
"123",58.5,54.01
"124",58.5,54.41
"125",59.1,56.12
"126",60,59.55
"127",60.8,60.87
"128",61.2,62.62
"129",61.6,65.49
"130",62.1,66.82
"131",62.5,68.31
"132",63.2,68.39
"133",64.1,69.81
"134",65.3,72.27
"135",66.4,70.78
"136",67.4,73.15
"137",68.9,78.44
"138",70.8,83.66
"139",71.8,87.32
"140",72.3,88.9
"141",73.7,91.07
"142",75.3,93.41
"143",76.8,94.8
"144",78.1,95.74
"145",79.5,100.6
"146",81.2,105.01
"147",82.6,104.98
"148",83,102.64
"149",84,104.58
"150",84.5,106.6
"151",84.8,106.24
"152",84.7,107.04
"153",85.8,109.63
"154",87.4,112.31
"155",88.5,113.58
"156",89.1,115.05
"157",90.5,118.33
"158",91.5,121.73
"159",91.6,120.33
"160",91.7,116.59
"161",92.1,113.58
"162",92.4,107.77
"163",92.6,100.52
"164",93.4,95.72
"165",94.2,95.96
"166",94.6,99.02
"167",94.9,100.25
"168",94.9,99.83
"169",93.7,100.35
"170",93.2,101.51
"171",92,98.32
"172",90.7,95.15
"173",90.4,94.41
"174",89.8,94.94
"175",89.1,92.77
"176",88.6,91.53
"177",88.7,92.47
"178",88.1,93.25
"179",87.5,91.28
"180",86.7,90.29
"181",85.9,91.48
"182",85.7,93.4
"183",85,93.34
"184",84.1,94.45
"185",83.6,97.19
"186",83.3,100.26
"187",83.1,100.39
"188",83.2,100.8
"189",82.9,102.33
"190",83.3,105.62
"191",83.2,106.78
"192",83.3,108.48
"193",83.5,110.16
"194",83.9,111.94
"195",83.5,111.14
"196",83.4,110.89
"197",83.1,112.06
"198",83.4,113.99
"199",83.2,112.95
"200",83.2,112.55
"201",83.6,112.82
"202",83.8,114.31
"203",83.8,113.07
"204",83.4,112.1
"205",83.6,111.79
"206",84,113.53
