"$\phi^1_{y}$" , 1.2969 , 1.1847 , 1.5488 , 1.0941 , 0.92467 , 1.2049 , 1.0671 , 0.88298 , 1.2228
"$\phi^2_{y}$" , -0.32055 , -0.57244 , -0.20854 , -0.10668 , -0.21946 , 0.063606 , -0.083144 , -0.23919 , 0.10819
"$\phi^{x1}_{y}$" ,  ,  ,  , 0.056902 , 0.037598 , 0.084801 , -0.0073773 , -0.11107 , 0.086537
"$\phi^{x2}_{y}$" ,  ,  ,  ,  ,  ,  , 0.062443 , -0.01987 , 0.15891
"$\phi^1_{h}$" , 1.4649 , 1.3309 , 1.5908 , 1.3838 , 1.1391 , 1.5723 , 1.3021 , 0.96194 , 1.6432
"$\phi^2_{h}$" , -0.56033 , -0.68466 , -0.4299 , -0.48576 , -0.65477 , -0.25736 , -0.40807 , -0.72188 , -0.08635
"$\phi^{x1}_{h}$" ,  ,  ,  , -0.025943 , -0.065139 , 0.002171 , 0.060018 , -0.42575 , 0.37019
"$\phi^{x2}_{h}$" ,  ,  ,  ,  ,  ,  , -0.099649 , -0.40421 , 0.37213
"$\sigma_{ny}$" , 0.69881 , 0.59502 , 0.79592 , 0.66912 , 0.5907 , 0.76105 , 0.71908 , 0.6254 , 0.8337
"$\sigma_{ey}$" , 0.54082 , 0.41324 , 0.65226 , 0.37699 , 0.30273 , 0.46778 , 0.37634 , 0.30173 , 0.46958
"$\sigma_{nh}$" , 1.9626 , 1.8086 , 2.2683 , 2.0646 , 1.9601 , 2.1112 , 2.0615 , 1.9309 , 2.11
"$\sigma_{eh}$" , 1.2192 , 0.88154 , 1.4347 , 1.1221 , 0.82497 , 1.4645 , 1.19 , 0.72216 , 1.7458
"$\sigma_{nynh}$" , 0.517 , 0.36892 , 0.65832 , 0.60036 , 0.48515 , 0.73741 , 0.6527 , 0.52768 , 0.87041
"$\sigma_{eyeh}$" , 0.69115 , 0.40977 , 0.98112 , 0.56065 , 0.30842 , 0.87058 , 0.62133 , 0.32811 , 0.91097
"$llv$" , -340.86 , -344.25 , -338.22 , -333.79 , -337.74 , -330.76 , -337.72 , -343.74 , -332.32
