"$\phi^1_{y}$" , 1.2789 , 1.1169 , 1.4 , 0.7835 , 0.42224 , 1.3063 , 0.60412 , 0.43659 , 0.83661
"$\phi^2_{y}$" , -0.30404 , -0.42432 , -0.14428 , 0.17936 , -0.33652 , 0.55344 , 0.32664 , 0.098722 , 0.46346
"$\phi^{x1}_{y}$" ,  ,  ,  , 0.031496 , 0.012949 , 0.050394 , -0.083415 , -0.23592 , 0.047942
"$\phi^{x2}_{y}$" ,  ,  ,  ,  ,  ,  , 0.11862 , -0.018787 , 0.27535
"$\phi^1_{h}$" , 1.8453 , 1.7859 , 1.8983 , 1.7615 , 1.624 , 1.865 , 1.7165 , 1.5794 , 1.8597
"$\phi^2_{h}$" , -0.8856 , -0.93846 , -0.82627 , -0.78197 , -0.89008 , -0.64586 , -0.75229 , -0.89177 , -0.6269
"$\phi^{x1}_{h}$" ,  ,  ,  , -0.055003 , -0.1341 , 0.00304 , 0.54261 , 0.13274 , 0.92635
"$\phi^{x2}_{h}$" ,  ,  ,  ,  ,  ,  , -0.62141 , -1.0474 , -0.20117
"$\sigma_{ny}$" , 0.73016 , 0.61426 , 0.84829 , 0.89196 , 0.73307 , 0.99767 , 0.89794 , 0.81046 , 1.0005
"$\sigma_{ey}$" , 0.62241 , 0.49814 , 0.73432 , 0.38851 , 0.3093 , 0.49016 , 0.38992 , 0.31637 , 0.49915
"$\sigma_{nh}$" , 0.65968 , 0.54241 , 0.76884 , 0.74736 , 0.61102 , 0.87525 , 0.63366 , 0.5247 , 0.75301
"$\sigma_{eh}$" , 0.85033 , 0.72081 , 0.98519 , 0.67348 , 0.54738 , 0.82469 , 0.64459 , 0.52059 , 0.76238
"$\sigma_{nynh}$" , 0.45764 , 0.29604 , 0.69076 , 0.52804 , 0.33738 , 0.70918 , 0.64873 , 0.44933 , 0.85464
"$\sigma_{eyeh}$" , 0.51536 , 0.33608 , 0.73809 , 0.63665 , 0.37689 , 0.9131 , 0.81215 , 0.52976 , 0.96968
"$llv$" , -263.19 , -267.34 , -260.28 , -266.49 , -271.1 , -262.36 , -265.33 , -269.92 , -262.21
