"$\phi^1_{y}$" , 1.2969 , 0.14904 , 1.0941 , 0.10722 , 1.0671 , 0.12812
"$\phi^2_{y}$" , -0.32055 , 0.14857 , -0.10668 , 0.10858 , -0.083144 , 0.13202
"$\phi^{x1}_{y}$" ,  ,  , 0.056902 , 0.01931 , -0.0073773 , 0.075686
"$\phi^{x2}_{y}$" ,  ,  ,  ,  , 0.062443 , 0.069641
"$\phi^1_{h}$" , 1.4649 , 0.10123 , 1.3838 , 0.16397 , 1.3021 , 0.26278
"$\phi^2_{h}$" , -0.56033 , 0.099561 , -0.48576 , 0.15069 , -0.40807 , 0.24905
"$\phi^{x1}_{h}$" ,  ,  , -0.025943 , 0.029767 , 0.060018 , 0.30074
"$\phi^{x2}_{h}$" ,  ,  ,  ,  , -0.099649 , 0.28937
"$\sigma_{ny}$" , 0.69881 , 0.081722 , 0.66912 , 0.0683 , 0.71908 , 0.080874
"$\sigma_{ey}$" , 0.54082 , 0.090895 , 0.37699 , 0.064048 , 0.37634 , 0.064948
"$\sigma_{nh}$" , 1.9626 , 0.16846 , 2.0646 , 0.059141 , 2.0615 , 0.067729
"$\sigma_{eh}$" , 1.2192 , 0.21132 , 1.1221 , 0.23445 , 1.19 , 0.39013
"$\sigma_{nynh}$" , 0.517 , 0.11228 , 0.60036 , 0.097208 , 0.6527 , 0.12815
"$\sigma_{eyeh}$" , 0.69115 , 0.2195 , 0.56065 , 0.20579 , 0.62133 , 0.21368
"$llv$" , -340.86 , 2.371 , -333.79 , 2.8435 , -337.72 , 4.4308
