"$\phi^1_{y}$" , 1.2789 , 0.10804 , 0.7835 , 0.34766 , 0.60412 , 0.15419
"$\phi^2_{y}$" , -0.30404 , 0.10682 , 0.17936 , 0.34887 , 0.32664 , 0.14052
"$\phi^{x1}_{y}$" ,  ,  , 0.031496 , 0.014141 , -0.083415 , 0.11254
"$\phi^{x2}_{y}$" ,  ,  ,  ,  , 0.11862 , 0.11694
"$\phi^1_{h}$" , 1.8453 , 0.043617 , 1.7615 , 0.091936 , 1.7165 , 0.10824
"$\phi^2_{h}$" , -0.8856 , 0.043482 , -0.78197 , 0.092855 , -0.75229 , 0.10289
"$\phi^{x1}_{h}$" ,  ,  , -0.055003 , 0.055158 , 0.54261 , 0.29409
"$\phi^{x2}_{h}$" ,  ,  ,  ,  , -0.62141 , 0.31069
"$\sigma_{ny}$" , 0.73016 , 0.09194 , 0.89196 , 0.099435 , 0.89794 , 0.071085
"$\sigma_{ey}$" , 0.62241 , 0.089887 , 0.38851 , 0.07105 , 0.38992 , 0.074774
"$\sigma_{nh}$" , 0.65968 , 0.095994 , 0.74736 , 0.10123 , 0.63366 , 0.088834
"$\sigma_{eh}$" , 0.85033 , 0.099699 , 0.67348 , 0.10986 , 0.64459 , 0.094209
"$\sigma_{nynh}$" , 0.45764 , 0.15242 , 0.52804 , 0.14543 , 0.64873 , 0.15384
"$\sigma_{eyeh}$" , 0.51536 , 0.16767 , 0.63665 , 0.19596 , 0.81215 , 0.16777
"$llv$" , -263.19 , 2.7973 , -266.49 , 3.3631 , -265.33 , 3.1528
