"V1","V2"
"1",18.6,49.56
"2",18.9,49.28
"3",18.9,49.47
"4",18.9,50.19
"5",19.3,50.02
"6",19.6,49.64
"7",20.5,50.29
"8",21.1,51.54
"9",21.5,51.93
"10",21.9,52.04
"11",21.9,53.42
"12",22,54.98
"13",22.4,54.26
"14",22.7,53.21
"15",22.6,53.05
"16",22.6,52.91
"17",22.4,51.33
"18",22.4,49.7
"19",22.5,49.3
"20",22.8,50.2
"21",23.4,49.25
"22",23.7,47.75
"23",24,47.53
"24",24.3,48.11
"25",24,47.17
"26",24.4,46.01
"27",25.1,45.93
"28",25.5,46.34
"29",26.1,45.59
"30",26.6,44.58
"31",26.7,44.54
"32",26.8,45.32
"33",27.3,45.01
"34",27,44.84
"35",27.3,45.42
"36",27.5,46.47
"37",26.7,46.4
"38",27.2,45.91
"39",27.7,46.82
"40",28.1,48.45
"41",28.8,48.72
"42",29.3,49.01
"43",30.1,50.37
"44",30.5,52.46
"45",30.7,53.03
"46",30.6,53.42
"47",31.2,54.71
"48",31,56.74
"49",30.8,56.95
"50",31.3,56.74
"51",31.8,57.9
"52",32.3,59.6
"53",32.6,59.22
"54",32.8,58.82
"55",33.1,59.56
"56",33.5,60.48
"57",33.8,59.11
"58",33.5,57.2
"59",33.6,56.61
"60",33.7,57.17
"61",33.6,55.99
"62",34.5,54.66
"63",34.9,54.57
"64",35.2,55.39
"65",35.9,54.47
"66",35.6,53.44
"67",35.6,53.61
"68",35.4,54.5
"69",35.2,53.58
"70",34.9,52.1
"71",35,52.22
"72",34.7,53.02
"73",33.4,52.06
"74",33.3,51.17
"75",33.1,51.4
"76",33.3,52.51
"77",33.5,52.05
"78",33.3,49.82
"79",33.5,51.18
"80",33.5,51.6
"81",33.7,51.21
"82",32.9,50.31
"83",33.1,51.29
"84",33.2,52.64
"85",33.1,52.42
"86",33,53.12
"87",33.5,54.13
"88",34,56.38
"89",34.1,56.28
"90",34.1,56.99
"91",34.2,58.33
"92",34.2,60.12
"93",34.2,59.64
"94",34.2,60.38
"95",34.3,61.46
"96",34.4,63.14
"97",34.6,63.35
"98",34.7,63.49
"99",35.1,65.17
"100",35.3,67.64
"101",35.5,68.05
"102",35.7,68.79
"103",36,71.14
"104",36.6,73.98
"105",37,74.72
"106",37.3,76.77
"107",38.2,79.14
"108",38.6,82.85
"109",39,84.43
"110",39.4,86.91
"111",40.3,89.8
"112",40.9,93.69
"113",41.8,95.26
"114",42.3,97.15
"115",43.1,99.13
"116",43.6,102.18
"117",44.2,103.14
"118",44.6,103.76
"119",45.4,104.47
"120",45.9,106.64
"121",46.6,106.36
"122",46.8,104.9
"123",47.4,103.76
"124",48,103.89
"125",48.6,100.86
"126",49.5,97.51
"127",50.4,95.65
"128",51.2,97.22
"129",52.5,97.25
"130",52.7,97.44
"131",52.9,98.63
"132",53,101.55
"133",53.8,102.36
"134",53.9,102.25
"135",54.4,103.19
"136",54.5,105.4
"137",54.8,103.61
"138",54.9,101.68
"139",54.9,100.98
"140",54.8,101.72
"141",55.1,100.04
"142",55.2,98.7
"143",55.3,97.98
"144",55.5,98.78
"145",55.5,97.77
"146",55.3,96.47
"147",55.5,96.23
"148",55.5,97.06
"149",55.6,95.32
"150",55.5,94.7
"151",55.7,93.95
"152",55.9,95.56
"153",56.1,94.95
"154",56,95.02
"155",56.2,94.61
"156",56.7,96.71
"157",57.1,96.08
"158",57.5,96.41
"159",57.9,96.78
"160",58.1,98.96
"161",58.5,98.07
"162",58.6,97.9
"163",59,97.64
"164",59.4,99.53
"165",60,99.36
"166",60.2,99.56
"167",60.6,99.65
