"V1","V2"
"1",20.5,62.77
"2",20.5,63.76
"3",20.3,63.28
"4",21,64.05
"5",22,63.95
"6",22.2,64.01
"7",22.2,64.49
"8",23,65.7
"9",23.3,66.78
"10",23.3,67.34
"11",23.5,70.07
"12",23.6,72.4
"13",24.3,73.21
"14",24.1,74.73
"15",24,77.75
"16",24.5,80.3
"17",24.9,82.8
"18",24.8,86.15
"19",25,89.62
"20",25.4,92.24
"21",26.2,95.71
"22",25.9,97.41
"23",25.8,100.58
"24",26,104.82
"25",26.7,105.81
"26",27,108.27
"27",27.4,110.3
"28",28.2,112.97
"29",29.7,115.2
"30",29.8,118.4
"31",30.1,120.97
"32",31.1,125.06
"33",32.6,134.82
"34",33.2,142.11
"35",33.4,146.59
"36",34.3,153.19
"37",35.4,153.06
"38",35.2,145.65
"39",34.9,140.48
"40",34.6,136.67
"41",35,127.29
"42",34.6,121.05
"43",34.8,118.17
"44",35.5,117.35
"45",36.9,114.97
"46",37.1,112.77
"47",37.2,110.27
"48",37.7,109.85
"49",38.7,108.35
"50",38.4,107.09
"51",38.3,105.4
"52",39.1,106.24
"53",39.7,106.43
"54",39.6,107.17
"55",39.6,106.7
"56",41,107.64
"57",42.1,109.47
"58",42.1,111.9
"59",42.6,112.38
"60",43.5,114.39
"61",45.1,116.19
"62",45.4,117.6
"63",45.5,117.71
"64",46,120.21
"65",46.7,121.91
"66",46.5,123.94
"67",46.2,124.82
"68",46.9,127.37
"69",47.9,128.45
"70",48,131.02
"71",47.8,131.73
"72",48.6,133.17
"73",49.7,133.62
"74",50.6,135.72
"75",50.8,135.42
"76",51.6,137.12
"77",52.6,136.75
"78",52.7,137.37
"79",52.4,137.16
"80",52.9,138.16
"81",53.5,137.52
"82",53.2,138.23
"83",52.6,137.8
"84",52.9,138.3
"85",53.2,138.46
"86",53.5,139.11
"87",53.2,139.75
"88",54.3,141.44
"89",54.7,143.66
"90",56.1,146.63
"91",56.6,149.25
"92",58.8,154.04
"93",60.7,155.24
"94",60.5,157.59
"95",60.9,158.11
"96",62.1,159.47
"97",63,160.86
"98",64.1,164.41
"99",64.2,164.44
"100",66,167.96
"101",67.7,173.32
"102",69.5,179.08
"103",69.1,182.86
"104",69.6,188.57
"105",69.5,187.96
"106",68.7,189.31
"107",68.6,187.12
"108",68.2,186.87
"109",68.6,182.61
"110",68.1,181.13
"111",67.9,176.41
"112",67.7,175.04
"113",68.6,172.1
"114",68.7,169.94
"115",68.5,166.94
"116",69.5,164.76
"117",70,164.16
"118",70.2,162.89
"119",70.1,161.56
"120",70.6,161.34
"121",70.8,159.89
"122",70.9,160.19
"123",70.6,159.2
"124",71,158.96
"125",71.4,158.26
"126",71,157.88
"127",70.7,156.04
"128",70.9,155.59
"129",70.8,154.7
"130",70.2,154.59
"131",70.1,150.88
"132",70.2,150.51
"133",70.5,149.55
"134",69.8,149.59
"135",70.4,148.11
"136",70.5,148.2
"137",70.9,145.49
"138",70.6,145.74
"139",70.9,144.05
"140",71.4,143.27
"141",72.2,141.87
"142",72.2,141.37
"143",71.4,139.64
"144",71.4,138.56
"145",71,137.25
"146",69.8,136.16
"147",69.3,134.66
"148",69.7,133.41
"149",69.6,132.11
"150",69.5,131.25
"151",69.2,128.87
"152",68.9,127.27
"153",68.5,125.35
"154",68.4,123.81
"155",67.8,121.23
"156",67.9,119.37
"157",67.6,117.66
"158",67.1,116.03
"159",66.5,113.99
"160",66.2,112.23
"161",65.8,110.36
"162",61.9,109.77
"163",61.2,108.38
"164",60.8,107.31
"165",61,106.45
"166",60.4,105.7
"167",59.9,104.66
"168",59.7,103.8
"169",59.2,103.84
"170",58.8,104.17
"171",58.7,103.53
"172",58.5,103.17
"173",58.9,102.51
"174",58.6,102.38
"175",58.8,100.86
"176",59.2,99.26
"177",60,98.89
"178",61.4,98.22
"179",62.2,96.73
"180",62.6,98.45
"181",62.7,98.1
"182",61.8,99.46
"183",61.5,99.53
"184",61.1,100.68
"185",61.2,100.34
"186",61.3,100.82
"187",60.5,100.1
"188",60.3,100.77
"189",60.1,99.65
"190",59,100
"191",58.7,98.87
"192",58.5,99.72
"193",58.9,99.45
"194",59.3,100.19
"195",59.1,100.84
"196",58.8,101.32
"197",58.6,100.77
"198",58.4,101.73
"199",57.9,98.79
"200",57.9,99.07
"201",57.9,98.86
"202",57.6,101.77
"203",57,100.74
"204",56.8,101.77
"205",56.7,100.59
"206",56.6,103.38
"207",56.6,104.07
"208",56.9,104.09
"209",57.2,102.79
"210",57.2,107.1
"211",57.2,105.77
"212",57.2,106
"213",57.6,104.03
"214",58,107.34
"215",58,107.12
"216",58,106.68
"217",58.6,105.73
"218",58.8,109.5
"219",58.7,108.46
