"ID","borrowers_country","date","Credit","Credit_log","Credit_HPtrend","Credit_HPcycle"
"1","JP","Japan",1964-10-01,20.5,302.042488614436,302.189194459829,-0.14670584539325
"2","JP","Japan",1965-01-01,20.5,302.042488614436,303.424231046113,-1.38174243167634
"3","JP","Japan",1965-04-01,20.3,301.062088604774,304.659175941242,-3.59708733646816
"4","JP","Japan",1965-07-01,21,304.452243772342,305.893073865045,-1.44083009270321
"5","JP","Japan",1965-10-01,22,309.104245335832,307.122721357764,1.98152397806792
"6","JP","Japan",1966-01-01,22.2,310.009228887823,308.34401444083,1.66521444699293
"7","JP","Japan",1966-04-01,22.2,310.009228887823,309.554087588166,0.45514129965768
"8","JP","Japan",1966-07-01,23,313.549421592915,310.751116032719,2.79830556019628
"9","JP","Japan",1966-10-01,23.3,314.845336057165,311.933559470751,2.91177658641444
"10","JP","Japan",1967-01-01,23.3,314.845336057165,313.101626539499,1.74370951766616
"11","JP","Japan",1967-04-01,23.5,315.700042115011,314.257345736567,1.44269637844461
"12","JP","Japan",1967-07-01,23.6,316.124671203156,315.403835378005,0.72083582515145
"13","JP","Japan",1967-10-01,24.3,319.04763503465,316.545115465102,2.50251956954782
"14","JP","Japan",1968-01-01,24.1,318.221184049661,317.685656521538,0.535527528122912
"15","JP","Japan",1968-04-01,24,317.805383034795,318.831493145722,-1.02611011092695
"16","JP","Japan",1968-07-01,24.5,319.867311755068,319.988994640768,-0.121682885700003
"17","JP","Japan",1968-10-01,24.9,321.486780347066,321.163888990974,0.322891356092692
"18","JP","Japan",1969-01-01,24.8,321.084365317094,322.36182812883,-1.27746281173603
"19","JP","Japan",1969-04-01,25,321.88758248682,323.588665793926,-1.70108330710632
"20","JP","Japan",1969-07-01,25.4,323.474917402449,324.849457311596,-1.37453990914683
"21","JP","Japan",1969-10-01,26.2,326.575941076705,326.148194830104,0.427746246601413
"22","JP","Japan",1970-01-01,25.9,325.424296870549,327.488011410272,-2.06371453972283
"23","JP","Japan",1970-04-01,25.8,325.037449192757,328.872307454327,-3.83485826156987
"24","JP","Japan",1970-07-01,26,325.809653802148,330.303193542908,-4.49353974075973
"25","JP","Japan",1970-10-01,26.7,328.46635654062,331.78038347024,-3.3140269296197
"26","JP","Japan",1971-01-01,27,329.583686600433,333.300782568211,-3.71709596777811
"27","JP","Japan",1971-04-01,27.4,331.054301339402,334.859224901877,-3.80492356247484
"28","JP","Japan",1971-07-01,28.2,333.932197794407,336.448221351316,-2.51602355690874
"29","JP","Japan",1971-10-01,29.7,339.114704580865,338.057904719376,1.05679986148952
"30","JP","Japan",1972-01-01,29.8,339.450839351136,339.676835294185,-0.225995943049453
"31","JP","Japan",1972-04-01,30.1,340.452517175483,341.294233863784,-0.84171668830138
"32","JP","Japan",1972-07-01,31.1,343.720781918519,342.899179968749,0.821601949769846
"33","JP","Japan",1972-10-01,32.6,348.431228837266,344.480227076725,3.95100176054097
"34","JP","Japan",1973-01-01,33.2,350.254987592244,346.026442156577,4.22854543566689
"35","JP","Japan",1973-04-01,33.4,350.855589998265,347.529361553271,3.32622844499489
"36","JP","Japan",1973-07-01,34.3,353.514535417189,348.983164452666,4.53137096452291
"37","JP","Japan",1973-10-01,35.4,356.671182013973,350.384108933406,6.28707308056723
"38","JP","Japan",1974-01-01,35.2,356.104608260405,351.731285180981,4.37332307942412
"39","JP","Japan",1974-04-01,34.9,355.248682920838,353.027712801561,2.22097011927712
"40","JP","Japan",1974-07-01,34.6,354.385368206368,354.279144728239,0.106223478129081
"41","JP","Japan",1974-10-01,35,355.534806148941,355.492722000432,0.0420841485094414
"42","JP","Japan",1975-01-01,34.6,354.385368206368,356.675652047232,-2.29028384086389
"43","JP","Japan",1975-04-01,34.8,354.961738678043,357.835168600323,-2.8734299222798
"44","JP","Japan",1975-07-01,35.5,356.953269648137,358.977073963988,-2.0238043158513
"45","JP","Japan",1975-10-01,36.9,360.821155104648,360.105374548811,0.715780555837206
"46","JP","Japan",1976-01-01,37.1,361.361696961339,361.222811887676,0.138885073663464
"47","JP","Japan",1976-04-01,37.2,361.63087612791,362.332574876314,-0.701698748404102
"48","JP","Japan",1976-07-01,37.7,362.966009445396,363.437939213631,-0.471929768234006
"49","JP","Japan",1976-10-01,38.7,365.583960003574,364.54174203681,1.04221796676382
"50","JP","Japan",1977-01-01,38.4,364.805745959368,365.646525526933,-0.840779567564508
"51","JP","Japan",1977-04-01,38.3,364.54498961866,366.755483251309,-2.21049363264855
"52","JP","Japan",1977-07-01,39.1,366.612246699132,367.871283290018,-1.25903659088553
"53","JP","Japan",1977-10-01,39.7,368.135118769314,368.995212164619,-0.86009339530464
"54","JP","Japan",1978-01-01,39.6,367.882911826043,370.127769498804,-2.24485767276001
"55","JP","Japan",1978-04-01,39.6,367.882911826043,371.268917357889,-3.38600553184531
"56","JP","Japan",1978-07-01,41,371.357206670431,372.417214771148,-1.06000810071689
"57","JP","Japan",1978-10-01,42.1,374.004774068834,373.569104514395,0.435669554438102
"58","JP","Japan",1979-01-01,42.1,374.004774068834,374.720366858384,-0.715592789550867
"59","JP","Japan",1979-04-01,42.6,375.185425327532,375.867054367338,-0.681629039805975
"60","JP","Japan",1979-07-01,43.5,377.276093809464,377.004772359988,0.271321449475936
"61","JP","Japan",1979-10-01,45.1,380.888224650863,378.128700136913,2.75952451395006
"62","JP","Japan",1980-01-01,45.4,381.55121050473,379.234186574601,2.31702393012938
"63","JP","Japan",1980-04-01,45.5,381.77123259569,380.318305252358,1.452927343332
"64","JP","Japan",1980-07-01,46,382.864139648909,381.37957788945,1.48456175945944
"65","JP","Japan",1980-10-01,46.7,384.374416467485,382.417434284729,1.95698218275608
"66","JP","Japan",1981-01-01,46.5,383.945231259331,383.432232088149,0.512999171182199
"67","JP","Japan",1981-04-01,46.2,383.297979808769,384.425552063527,-1.12757225475742
"68","JP","Japan",1981-07-01,46.9,384.801767545223,385.399295599162,-0.597528053938817
"69","JP","Japan",1981-10-01,47.9,386.911550441687,386.354659350695,0.556891090991551
"70","JP","Japan",1982-01-01,48,387.120101090789,387.292466518733,-0.172365427943741
"71","JP","Japan",1982-04-01,47.8,386.702563949741,388.213888360813,-1.51132441107185
"72","JP","Japan",1982-07-01,48.6,388.362353090645,389.119988406081,-0.757635315436578
"73","JP","Japan",1982-10-01,49.7,390.600493310258,390.010885605927,0.589607704330883
"74","JP","Japan",1983-01-01,50.6,392.395157629342,390.886225389668,1.5089322396743
"75","JP","Japan",1983-04-01,50.8,392.789635458444,391.746021691434,1.04361376700929
"76","JP","Japan",1983-07-01,51.6,394.352167248752,392.591231528009,1.76093572074261
"77","JP","Japan",1983-10-01,52.6,396.271611974366,393.423464174778,2.84814779958808
"78","JP","Japan",1984-01-01,52.7,396.461545554732,394.245429491954,2.21611606277806
"79","JP","Japan",1984-04-01,52.4,395.8906591327,395.061617432121,0.829041700578348
"80","JP","Japan",1984-07-01,52.9,396.840333886425,395.877903020407,0.962430866018252
"81","JP","Japan",1984-10-01,53.5,397.968165390196,396.700679433,1.26748595719651
