"V1","V2"
"1",43.2,61.69
"2",43.2,61.12
"3",43.2,61.39
"4",43.5,61.34
"5",42.9,62.54
"6",43.3,63.55
"7",43.5,63.55
"8",43.9,64.76
"9",43.6,64.49
"10",44.2,65.79
"11",44.4,66.46
"12",44.7,67.27
"13",44.3,69.37
"14",44.5,69.47
"15",44.7,69.72
"16",44.7,69.6
"17",44.1,69.34
"18",44.6,68.74
"19",44.8,68.51
"20",44.7,66.92
"21",43.8,67.48
"22",43.8,68.36
"23",44,68.13
"24",44.4,68.31
"25",43.6,66.65
"26",43.9,66.23
"27",44.2,67.86
"28",44.6,69.64
"29",44.5,71.25
"30",45.3,72.82
"31",45.9,74.37
"32",46.4,76.02
"33",46.3,77.53
"34",47.1,78.3
"35",47.8,79.35
"36",48,80.46
"37",47.5,81.73
"38",48.1,82.41
"39",48.8,82.84
"40",49.4,83.35
"41",49.2,81.93
"42",48.9,80.47
"43",49.4,81.08
"44",49.7,80.67
"45",48.6,80.06
"46",48.3,79.33
"47",47.7,77.81
"48",47.6,77.48
"49",47.2,77.27
"50",47.3,76.22
"51",47.2,74.86
"52",47.8,75.15
"53",46.9,75.98
"54",47.5,76.05
"55",48,76.19
"56",48.4,76.47
"57",47.9,76.59
"58",48.2,76.72
"59",48.4,76.82
"60",49,76.94
"61",49.8,77.43
"62",50.7,77.78
"63",52,78.29
"64",53.7,79.09
"65",53.4,80.43
"66",54.1,82.23
"67",55.4,83.5
"68",56.6,84.8
"69",56,86.06
"70",57.2,86.95
"71",58,87.8
"72",57.7,88.81
"73",57.6,89.78
"74",58.2,90.8
"75",58.6,92.14
"76",58.9,93.48
"77",58.4,94.47
"78",58.8,94.28
"79",59.2,94.78
"80",59.7,95.21
"81",59.9,94.61
"82",60.2,93.86
"83",60.4,91.98
"84",60.8,90.01
"85",60.8,88.79
"86",61.4,88.53
"87",61.6,87.77
"88",62.2,86.87
"89",61.7,86.42
"90",61.5,85.56
"91",61.7,84.78
"92",61.8,84.45
"93",61.1,83.97
"94",61.3,83.68
"95",61.8,83.94
"96",62.4,84.08
"97",62,83.89
"98",62.2,83.8
"99",62.4,83.48
"100",63.1,83.43
"101",62.6,83.13
"102",63.1,82.89
"103",63.8,83.14
"104",64.4,83.24
"105",64.5,83.15
"106",64.9,82.92
"107",65.1,82.93
"108",65.4,82.86
"109",64.9,82.98
"110",65,83.47
"111",65.4,84.17
"112",65.6,85.13
"113",65.2,86.41
"114",66,87.27
"115",66.4,88.45
"116",67.1,89.77
"117",67,90.82
"118",67.6,91.71
"119",68.3,92.97
"120",69,94.35
"121",69.3,95.77
"122",69.5,97.17
"123",70.2,98.53
"124",70.6,100.24
"125",70.3,101.57
"126",71.6,102.36
"127",73.5,104.14
"128",74.3,106.16
"129",74.9,107.71
"130",76.1,109.28
"131",77.4,111.53
"132",78.9,113.53
"133",79.8,114.65
"134",82.6,116.7
"135",83.8,119.49
"136",84.7,123.39
"137",85.1,126.51
"138",86.3,129.53
"139",87.3,133.67
"140",88.9,137.79
"141",89.1,142.59
"142",90.3,146.24
"143",91.5,149.46
"144",92.3,153
"145",93.5,154.65
"146",94.6,151.6
"147",95.7,149.61
"148",96.4,150.48
"149",96.6,147.31
"150",97.6,140.43
"151",98.2,135.8
"152",98.6,130.59
"153",98.6,123.91
"154",97.4,115.53
"155",97.8,108.97
"156",95.9,106.46
"157",95.6,103.84
"158",96.1,102.68
"159",96.8,102.43
"160",96.6,102.57
"161",95.1,102.15
"162",93.8,101.04
"163",92.4,99.04
"164",91.6,97.79
"165",90.5,95.7
"166",89.3,93.72
"167",88.2,93.78
"168",87.4,93.95
"169",86.1,94.21
"170",85,95.69
"171",84.3,97.39
"172",83.9,99.44
"173",83,101.36
"174",82.4,103.5
"175",82.2,105.6
"176",81.8,108.04
"177",80.9,108.56
"178",80.6,108.02
"179",80.2,109.35
"180",79.7,111.95
"181",78.6,113.99
"182",78.5,114.01
"183",78.1,115.3
"184",77.7,117.45
"185",77.2,118.85
"186",77.6,118.82
"187",78.1,120.12
"188",78,121.75
"189",77.5,122.43
"190",77.6,123.47
"191",77.5,124.95
"192",77.6,126.57
"193",76.8,127.52
"194",76.4,127.67
"195",76.2,128.24
"196",75.9,129.3
"197",75,129.88
"198",75.1,129.66
